t,north,east,down,vel,roll,pitch,speed,throttle
0,171.793,-620.342,-19.981,14.8485,-16.7693,-0.51668,14.7847,0.26
0.01,171.793,-620.342,-19.981,14.8485,-17.4674,-0.508034,14.7847,0.26
0.02,171.319,-620.274,-20.0082,14.793,-18.3914,-0.500444,14.7847,0.26
0.03,171.319,-620.274,-20.0082,14.793,-19.5432,-0.490952,14.7847,0.26
0.04,170.728,-620.185,-20.044,14.7247,-20.9211,-0.483647,14.5752,0.26
0.05,170.728,-620.185,-20.044,14.7247,-21.8426,-0.472449,14.5752,0.26
0.06,170.377,-620.127,-20.0664,14.6852,-22.9884,-0.460366,14.5752,0.26
0.07,169.911,-620.045,-20.0973,14.6319,-24.1298,-0.447219,14.5752,0.26
0.08,169.911,-620.045,-20.0973,14.6319,-25.275,-0.429281,14.5752,0.26
0.09,169.333,-619.934,-20.1374,14.5661,-26.3923,-0.408685,14.5443,0.27
0.1,169.333,-619.934,-20.1374,14.5661,-27.2382,-0.397236,14.5443,0.27
0.11,168.875,-619.838,-20.1705,14.5201,-28.4312,-0.390783,14.5443,0.27
0.12,168.875,-619.838,-20.1705,14.5201,-29.1873,-0.388674,14.5443,0.27
0.13,168.42,-619.736,-20.2042,14.4794,-30.091,-0.378302,14.5443,0.27
0.14,167.968,-619.627,-20.2385,14.444,-30.9444,-0.366588,14.2645,0.27
0.15,167.968,-619.627,-20.2385,14.444,-31.7484,-0.362152,14.2645,0.27
0.16,167.519,-619.511,-20.2734,14.4124,-32.5041,-0.362717,14.2645,0.27
0.17,167.519,-619.511,-20.2734,14.4124,-33.2196,-0.364919,14.2645,0.27
0.18,167.074,-619.388,-20.3089,14.387,-33.6308,-0.364689,14.2645,0.27
0.19,167.074,-619.388,-20.3089,14.387,-34.4124,-0.365753,14.2645,0.27
0.2,166.522,-619.223,-20.3538,14.3608,-34.8994,-0.366454,14.0535,0.28
0.21,166.084,-619.082,-20.3901,14.3426,-35.4755,-0.377111,14.0535,0.28
0.22,166.084,-619.082,-20.3901,14.3426,-36.0154,-0.390848,14.0535,0.28
0.23,165.645,-618.94,-20.4267,14.3258,-36.5179,-0.396859,14.0535,0.28
0.24,165.645,-618.94,-20.4267,14.3258,-36.9904,-0.3856,14.0535,0.28
0.25,165.209,-618.792,-20.4636,14.3075,-37.4254,-0.364068,13.8978,0.28
0.26,164.778,-618.635,-20.5009,14.2895,-37.8316,-0.331243,13.8978,0.28
0.27,164.778,-618.635,-20.5009,14.2895,-38.1997,-0.281872,13.8978,0.28
0.28,164.351,-618.469,-20.5385,14.2714,-38.5365,-0.219812,13.8978,0.28
0.29,164.351,-618.469,-20.5385,14.2714,-38.854,-0.141045,13.8978,0.28
0.3,163.824,-618.249,-20.586,14.249,-39.1438,-0.047638,13.9272,0.29
0.31,163.407,-618.063,-20.6244,14.2305,-39.4137,0.0608937,13.9272,0.29
0.32,163.407,-618.063,-20.6244,14.2305,-39.5648,0.127755,13.9272,0.29
0.33,162.996,-617.868,-20.6631,14.2138,-39.837,0.278105,13.9272,0.29
0.34,162.996,-617.868,-20.6631,14.2138,-40.0046,0.390616,13.9272,0.29
0.35,162.59,-617.664,-20.7021,14.1953,-40.1932,0.539179,13.8244,0.29
0.36,162.59,-617.664,-20.7021,14.1953,-40.3681,0.689559,13.8244,0.29
0.37,162.189,-617.452,-20.7414,14.1786,-40.517,0.846953,13.8244,0.29
0.38,161.793,-617.231,-20.7811,14.1646,-40.6771,1.03283,13.8244,0.29
0.39,161.793,-617.231,-20.7811,14.1646,-40.7691,1.16193,13.8244,0.29
0.4,161.306,-616.944,-20.8311,14.1472,-40.8725,1.32136,13.8039,0.3
0.41,161.306,-616.944,-20.8311,14.1472,-40.9539,1.47952,13.8039,0.3
0.42,160.922,-616.706,-20.8713,14.1339,-41.022,1.62934,13.8039,0.3
0.43,160.54,-616.465,-20.9117,14.122,-41.0706,1.77604,13.8039,0.3
0.44,160.54,-616.465,-20.9117,14.122,-41.1079,1.92709,13.8039,0.3
0.45,160.161,-616.218,-20.9522,14.1114,-41.1329,2.09151,13.7056,0.3
0.46,160.161,-616.218,-20.9522,14.1114,-41.1392,2.16961,13.7056,0.3
0.47,159.789,-615.963,-20.9929,14.1005,-41.1376,2.29529,13.7056,0.3
0.48,159.789,-615.963,-20.9929,14.1005,-41.1279,2.40926,13.7056,0.3
0.49,159.423,-615.701,-21.0337,14.0924,-41.1134,2.51083,13.7056,0.3
0.5,158.974,-615.362,-21.0846,14.0824,-41.0774,2.61972,13.7576,0.3
0.51,158.974,-615.362,-21.0846,14.0824,-41.0438,2.68601,13.7576,0.3
