t,north,east,down,vel,vel_dwn,roll,pitch,speed,throttle
0,64.5087,39.72,-23.6684,13.1968,-0.196346,46.665,-0.388578,12.5882,0.31
0.01,64.5087,39.72,-23.6684,13.1968,-0.196346,46.5643,-0.391403,12.5882,0.31
0.02,64.8793,39.9109,-23.6759,13.2211,-0.185756,46.4837,-0.392676,12.6233,0.31
0.03,64.8793,39.9109,-23.6759,13.2211,-0.185756,46.3724,-0.402061,12.6233,0.31
0.04,65.2461,40.1114,-23.683,13.2452,-0.175389,46.2608,-0.406073,12.6233,0.31
0.05,65.6093,40.3195,-23.6904,13.2696,-0.165558,46.1429,-0.413198,12.6233,0.31
0.06,65.6093,40.3195,-23.6904,13.2696,-0.165558,46.0158,-0.417333,12.6233,0.31
0.07,65.9688,40.532,-23.6993,13.2924,-0.157872,45.8791,-0.41555,12.8068,0.31
0.08,65.9688,40.532,-23.6993,13.2924,-0.157872,45.7435,-0.415434,12.8068,0.31
0.09,66.4122,40.8108,-23.7096,13.3221,-0.147064,45.6035,-0.41039,12.8068,0.31
0.1,66.7619,41.044,-23.7172,13.3221,-0.139367,45.4531,-0.401625,12.8068,0.31
0.11,66.7619,41.044,-23.7172,13.3464,-0.139367,45.3602,-0.396742,12.8068,0.31
0.12,67.107,41.2862,-23.7243,13.3712,-0.131067,45.2001,-0.384035,12.8017,0.31
0.13,67.107,41.2862,-23.7243,13.3712,-0.131067,45.0049,-0.365258,12.8017,0.31
0.14,67.4473,41.537,-23.7311,13.3961,-0.124713,44.8715,-0.352917,12.8017,0.31
0.15,67.4473,41.537,-23.7311,13.3961,-0.124713,44.6665,-0.333112,12.8017,0.31
0.16,67.7827,41.7962,-23.7374,13.4201,-0.118079,44.5271,-0.313675,12.8017,0.31
0.17,68.1949,42.1317,-23.7447,13.4517,-0.109904,44.312,-0.292927,12.9218,0.31
0.18,68.1949,42.1317,-23.7447,13.4517,-0.109904,44.1301,-0.269629,12.9218,0.31
0.19,68.5189,42.4091,-23.7501,13.4784,-0.103756,43.9412,-0.251295,12.9218,0.31
0.2,68.5189,42.4091,-23.7501,13.4784,-0.103756,43.7863,-0.234531,12.9218,0.31
0.21,68.8377,42.6942,-23.7552,13.5064,-0.0972838,43.6254,-0.211518,12.9218,0.31
0.22,68.8377,42.6942,-23.7552,13.5064,-0.0972838,43.4279,-0.188405,12.9218,0.31
0.23,69.1513,42.9869,-23.7599,13.5347,-0.0926713,43.2244,-0.165667,13.0181,0.31
0.24,69.4596,43.2868,-23.7644,13.5622,-0.0878082,42.9718,-0.131796,13.0181,0.31
0.25,69.4596,43.2868,-23.7644,13.5622,-0.0878082,42.798,-0.108831,13.0181,0.31
0.26,69.7627,43.5926,-23.7691,13.5887,-0.0835672,42.6712,-0.092369,13.0181,0.31
0.27,69.7627,43.5926,-23.7691,13.5887,-0.0835672,42.4542,-0.0644087,13.0181,0.31
0.28,70.0614,43.902,-23.7754,13.615,-0.0812073,42.1849,-0.0305369,13.1547,0.3
0.29,70.0614,43.902,-23.7754,13.615,-0.0812073,42.0013,-0.00882546,13.1547,0.3
0.3,70.4268,44.2985,-23.7826,13.6472,-0.0770511,41.77,0.0204428,13.1547,0.3
0.31,70.7128,44.6232,-23.7879,13.674,-0.0737082,41.532,0.0527863,13.1547,0.3
0.32,70.7128,44.6232,-23.7879,13.674,-0.0737082,41.2917,0.0804468,13.1547,0.3
0.33,70.9932,44.9542,-23.7928,13.7011,-0.0709682,41.0499,0.109615,13.1151,0.3
0.34,70.9932,44.9542,-23.7928,13.7011,-0.0709682,40.8033,0.135563,13.1151,0.3
0.35,71.268,45.2914,-23.7973,13.7272,-0.0704037,40.5541,0.156226,13.1151,0.3
0.36,71.537,45.6346,-23.8015,13.7545,-0.0670369,40.3018,0.17833,13.1151,0.3
0.37,71.537,45.6346,-23.8015,13.7545,-0.0670369,40.0487,0.198796,13.1151,0.3
0.38,71.8654,46.0716,-23.8063,13.7872,-0.0672005,39.844,0.215486,13.1929,0.3
0.39,71.8654,46.0716,-23.8063,13.7872,-0.0672005,39.5826,0.23436,13.1929,0.3
0.4,72.1217,46.4275,-23.8099,13.8135,-0.0666555,39.3724,0.247861,13.1929,0.3
0.41,72.1217,46.4275,-23.8099,13.8135,-0.0666555,39.1093,0.268803,13.1929,0.3
0.42,72.3722,46.7886,-23.8134,13.8403,-0.0669973,38.8414,0.282148,13.1929,0.3
0.43,72.6171,47.1548,-23.8168,13.8679,-0.0671538,38.5207,0.297803,13.3393,0.3
0.44,72.6171,47.1548,-23.8168,13.8679,-0.0671538,38.3011,0.3086,13.3393,0.3
0.45,72.8564,47.526,-23.8201,13.8962,-0.0680302,37.9727,0.325086,13.3393,0.3
0.46,72.8564,47.526,-23.8201,13.8962,-0.0680302,37.6944,0.330276,13.3393,0.3
0.47,73.0906,47.9014,-23.8242,13.9244,-0.0679277,37.4666,0.346291,13.3393,0.3
0.48,73.3207,48.2794,-23.8308,13.9511,-0.0705387,37.131,0.366741,13.4608,0.3
0.49,73.3207,48.2794,-23.8308,13.9511,-0.0705387,36.9074,0.375706,13.4608,0.3
0.5,73.6004,48.7583,-23.8386,13.9837,-0.0738363,36.6165,0.38681,13.4608,0.3
0.51,73.6004,48.7583,-23.8386,13.9837,-0.0738363,36.3859,0.403166,13.4608,0.3
0.52,73.8178,49.1464,-23.8445,14.0103,-0.0765726,36.0907,0.41829,13.4608,0.3
0.53,73.8178,49.1464,-23.8445,14.0103,-0.0765726,35.7993,0.435605,13.4608,0.3
0.54,74.0297,49.5386,-23.8501,14.0355,-0.0796801,35.5059,0.452827,13.4462,0.3
0.55,74.236,49.9348,-23.8555,14.0611,-0.0833869,35.2091,0.467937,13.4462,0.3
0.56,74.236,49.9348,-23.8555,14.0611,-0.0833869,34.9114,0.483081,13.4462,0.3
0.57,74.4369,50.3349,-23.8608,14.0862,-0.0881945,34.7319,0.491246,13.4462,0.3
0.58,74.4369,50.3349,-23.8608,14.0862,-0.0881945,34.4348,0.509136,13.4462,0.3
0.59,74.6324,50.7387,-23.8659,14.1111,-0.0946542,34.1346,0.524473,13.5804,0.3
0.6,74.6324,50.7387,-23.8659,14.1111,-0.0946542,33.8372,0.535714,13.5804,0.3
0.61,74.8692,51.2483,-23.8723,14.1409,-0.102853,33.5294,0.555035,13.5804,0.3
0.62,75.0526,51.6598,-23.8774,14.1641,-0.110044,33.1622,0.568758,13.5804,0.3
