t,north,east,down,vel,roll,pitch,speed,throttle
0,nan,nan,nan,0,-0.716613,-0.391731,1.27308,0
0.01,nan,nan,nan,0,-0.717118,-0.394464,1.27308,0
0.02,0.00642548,0.0159632,-0.0477163,0.0428302,-0.723824,-0.392384,1.27308,0
0.03,0.00642548,0.0159632,-0.0477163,0.0428302,-0.725079,-0.391309,1.27308,0
0.04,0.00667841,0.0168637,-0.0480251,0.0440407,-0.72371,-0.39021,1.27308,0
0.05,0.00679476,0.0174855,-0.0480071,0.0452798,-0.723841,-0.390542,-1.06518,0
0.06,0.00679476,0.0174855,-0.0480071,0.0452798,-0.723217,-0.38843,-1.06518,0
0.07,0.00656713,0.0175923,-0.047071,0.0459415,-0.722167,-0.384415,-1.06518,0
0.08,0.00656713,0.0175923,-0.047071,0.0459415,-0.721986,-0.381977,-1.06518,0
0.09,0.00638946,0.0178551,-0.046203,0.0465138,-0.720643,-0.381058,-1.06518,0
0.1,0.00625439,0.0182461,-0.0454718,0.0465284,-0.716276,-0.378365,-1.06518,0
0.11,0.00625439,0.0182461,-0.0454718,0.0465284,-0.716019,-0.377017,-1.06518,0
0.12,0.00614407,0.0187292,-0.0448845,0.0453798,-0.713917,-0.374498,-1.06518,0
0.13,0.00614407,0.0187292,-0.0448845,0.0453798,-0.714564,-0.374259,-1.06518,0
0.14,0.0060654,0.0194522,-0.0443572,0.0457953,-0.71392,-0.373396,-1.06518,0
0.15,0.0060654,0.0194522,-0.0443572,0.0457953,-0.714102,-0.375223,-1.06518,0
0.16,0.00605952,0.0201511,-0.0441332,0.046537,-0.713433,-0.371167,1.21051,0
0.17,0.00608287,0.0209518,-0.0440211,0.047421,-0.713344,-0.372337,1.21051,0
0.18,0.00608287,0.0209518,-0.0440211,0.047421,-0.711312,-0.37313,1.21051,0
0.19,0.00614863,0.0218399,-0.0439765,0.0476374,-0.712039,-0.375828,1.21051,0
0.2,0.00614863,0.0218399,-0.0439765,0.0476374,-0.709428,-0.372806,1.21051,0
0.21,0.00625988,0.0230754,-0.0441344,0.0479738,-0.713636,-0.370889,0.973029,0
0.22,0.00632653,0.0238686,-0.0443052,0.0486962,-0.714193,-0.368915,0.973029,0
0.23,0.00632653,0.0238686,-0.0443052,0.0486962,-0.715546,-0.363475,0.973029,0
0.24,0.00648621,0.0252989,-0.0446422,0.0500574,-0.716186,-0.363984,0.973029,0
0.25,0.00648621,0.0252989,-0.0446422,0.0500574,-0.7137,-0.367271,0.973029,0
0.26,0.00651966,0.0260255,-0.0447233,0.0507605,-0.712697,-0.362872,1.21204,0
0.27,0.00651966,0.0260255,-0.0447233,0.0507605,-0.718637,-0.358636,1.21204,0
0.28,0.00630572,0.025402,-0.0439939,0.050294,-0.720661,-0.356489,1.21204,0
0.29,0.00616542,0.024969,-0.0434361,0.0495374,-0.720615,-0.356114,1.21204,0
0.3,0.00616542,0.024969,-0.0434361,0.0495374,-0.719633,-0.354765,1.21204,0
0.31,0.00605097,0.0247291,-0.0430114,0.0491638,-0.719328,-0.352248,-1.42597,0
0.32,0.00605097,0.0247291,-0.0430114,0.0491638,-0.718739,-0.349653,-1.42597,0
0.33,0.00593836,0.0246564,-0.0427556,0.0487348,-0.715675,-0.350034,-1.42597,0
0.34,0.00593836,0.0246564,-0.0427556,0.0487348,-0.712972,-0.34761,-1.42597,0
0.35,0.00583573,0.02476,-0.0426042,0.0479618,-0.713808,-0.344527,-1.42597,0
0.36,0.00579629,0.0250175,-0.042609,0.0490018,-0.710957,-0.341269,-0.747422,0
0.37,0.00579629,0.0250175,-0.042609,0.0490018,-0.70706,-0.337448,-0.747422,0
0.38,0.0057963,0.0254102,-0.0427233,0.04848,-0.709034,-0.338937,-0.747422,0
0.39,0.0057963,0.0254102,-0.0427233,0.04848,-0.709377,-0.342483,-0.747422,0
0.4,0.00582409,0.0259199,-0.042928,0.0490269,-0.710162,-0.341295,-0.747422,0
0.41,0.00582409,0.0259199,-0.042928,0.0490269,-0.709798,-0.339512,-0.747422,0
0.42,0.00584546,0.0267538,-0.0433125,0.0493326,-0.708555,-0.338929,1.52423,0
0.43,0.0058635,0.0273318,-0.0436281,0.0497658,-0.704183,-0.338167,1.52423,0
0.44,0.0058635,0.0273318,-0.0436281,0.0497658,-0.70022,-0.334227,1.52423,0
0.45,0.00591178,0.0283978,-0.044192,0.0493676,-0.699844,-0.334711,1.52423,0
0.46,0.00591178,0.0283978,-0.044192,0.0493676,-0.701363,-0.336289,1.52423,0
