t,north,east,down,vel,vel_dwn,roll,pitch,speed,throttle
0,81.3494,61.8565,-21.4638,14.7938,0.371183,23.5529,-3.29817,14.4202,0.27
0.01,81.3494,61.8565,-21.4638,14.7938,0.371183,23.4287,-3.03352,14.4202,0.27
0.02,81.5135,62.3,-21.4561,14.8004,0.28114,23.2974,-2.76278,14.3673,0.27
0.03,81.5135,62.3,-21.4561,14.8004,0.28114,23.1498,-2.49334,14.3673,0.27
0.04,81.7106,62.8573,-21.45,14.8057,0.176429,23.03,-2.2753,14.3673,0.27
0.05,81.7106,62.8573,-21.45,14.8057,0.176429,22.8816,-2.01021,14.3673,0.27
0.06,81.8621,63.3052,-21.448,14.8092,0.100738,22.6914,-1.69178,14.3673,0.27
0.07,82.0085,63.7548,-21.448,14.8137,0.0316886,22.5711,-1.49001,14.389,0.27
0.08,82.0085,63.7548,-21.448,14.8137,0.0316886,22.4181,-1.24493,14.389,0.27
0.09,82.15,64.206,-21.4501,14.8174,-0.0299799,22.2655,-1.01447,14.389,0.27
0.1,82.15,64.206,-21.4501,14.8174,-0.0299799,22.09,-0.759688,14.389,0.27
0.11,82.2869,64.6587,-21.4539,14.8202,-0.0849674,21.9729,-0.603207,14.389,0.27
0.12,82.4194,65.1126,-21.4593,14.8234,-0.132464,21.8258,-0.42062,14.4554,0.27
0.13,82.4194,65.1126,-21.4593,14.8234,-0.132464,21.7399,-0.317908,14.4554,0.27
0.14,82.5792,65.6817,-21.4679,14.8256,-0.182555,21.6015,-0.166811,14.4554,0.27
0.15,82.5792,65.6817,-21.4679,14.8256,-0.182555,21.4583,-0.0289498,14.4554,0.27
0.16,82.7024,66.1383,-21.4761,14.8279,-0.216495,21.3263,0.0942011,14.4554,0.27
0.17,82.7024,66.1383,-21.4761,14.8279,-0.216495,21.1815,0.195871,14.4554,0.27
0.18,82.826,66.5956,-21.487,14.8292,-0.247529,21.0394,0.289443,14.3303,0.27
0.19,82.826,66.5956,-21.487,14.8292,-0.247529,20.9051,0.36814,14.3303,0.27
0.2,82.9455,67.0538,-21.4987,14.8307,-0.275659,20.7647,0.437079,14.3303,0.27
0.21,83.061,67.5129,-21.511,14.8324,-0.298298,20.6228,0.486578,14.3303,0.27
0.22,83.061,67.5129,-21.511,14.8324,-0.298298,20.478,0.532544,14.3303,0.27
0.23,83.1727,67.9729,-21.5238,14.8335,-0.317949,20.3892,0.553683,14.4365,0.27
0.24,83.1727,67.9729,-21.5238,14.8335,-0.317949,20.2702,0.582429,14.4365,0.27
0.25,83.3071,68.5491,-21.5404,14.836,-0.337063,20.1112,0.601515,14.4365,0.27
0.26,83.4105,69.0109,-21.5541,14.8393,-0.349315,19.9557,0.624296,14.4365,0.27
0.27,83.4105,69.0109,-21.5541,14.8393,-0.349315,19.7598,0.649917,14.4365,0.27
0.28,83.5103,69.4734,-21.5679,14.8408,-0.359583,19.6277,0.664836,14.3703,0.27
0.29,83.5103,69.4734,-21.5679,14.8408,-0.359583,19.4611,0.670489,14.3703,0.27
0.3,83.6066,69.9368,-21.582,14.8429,-0.367523,19.2877,0.677164,14.3703,0.27
0.31,83.6066,69.9368,-21.582,14.8429,-0.367523,19.1064,0.681964,14.3703,0.27
0.32,83.6994,70.4008,-21.5962,14.846,-0.375205,18.9207,0.690048,14.3703,0.27
0.33,83.7889,70.8654,-21.6105,14.8471,-0.38276,18.6932,0.698315,14.2968,0.27
0.34,83.7889,70.8654,-21.6105,14.8471,-0.38276,18.5436,0.703651,14.2968,0.27
0.35,83.8962,71.4471,-21.6286,14.8478,-0.392052,18.311,0.710463,14.2968,0.27
0.36,83.8962,71.4471,-21.6286,14.8478,-0.392052,18.1552,0.713137,14.2968,0.27
0.37,83.9784,71.9131,-21.6432,14.8502,-0.396359,17.9527,0.719723,14.2968,0.27
