u0_opt,u1_opt,u2_opt,x,z,vel,x_real, z_real, vx_real,vz_real,pitch_real
7.82927e-06,0.19203,0.349066,-4.12821,9.82239,11.3371,-4.16326,9.25001,15.23,-0.08,-0.0489189
7.82927e-06,0.19203,0.349066,-4.12821,9.82239,11.3371,-4.16326,9.25001,15.23,-0.08,-0.048905
7.82927e-06,0.19203,0.349066,-4.12821,9.82239,11.3371,-4.16326,9.25001,15.23,-0.08,-0.048905
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.048905
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.048905
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518,-3.62894,9.24901,15.22,-0.08,-0.0487841
