u0_opt,u1_opt,u2_opt,x,z,vel,xr,zr,vxr,vzr,pitchr
5.87859e-06,0.0165348,0.349066,-4.80177,10.1507,9.94498,-4.85343,10.1279,9.93,-0.01,-0.0275871
5.87859e-06,0.0165348,0.349066,-4.80177,10.1507,9.94498,-4.85343,10.1279,9.93,-0.01,-0.0276032
6.18205e-06,0.0200255,0.349066,-4.40287,10.1585,10.0208,-4.49721,10.1279,9.93,-0.01,-0.0276032
6.18205e-06,0.0200255,0.349066,-4.40287,10.1585,10.0208,-4.49721,10.1279,9.93,-0.01,-0.0276032
6.18205e-06,0.0200255,0.349066,-4.40287,10.1585,10.0208,-4.49721,10.1273,9.93,-0.01,-0.0276363
6.18205e-06,0.0200255,0.349066,-4.40287,10.1585,10.0208,-4.49721,10.1273,9.93,-0.01,-0.0276363
6.18205e-06,0.0200255,0.349066,-4.40287,10.1585,10.0208,-4.49721,10.1273,9.93,-0.01,-0.0276363
6.18205e-06,0.0200255,0.349066,-4.40287,10.1585,10.0208,-4.49721,10.1273,9.93,-0.01,-0.027669
6.18205e-06,0.0200255,0.349066,-4.40287,10.1585,10.0208,-4.49721,10.1273,9.93,-0.01,-0.027669
6.40127e-06,0.0217708,0.349066,-4.20236,10.1643,10.0547,-4.26345,10.1273,9.93,-0.01,-0.027669
6.40127e-06,0.0217708,0.349066,-4.20236,10.1643,10.0547,-4.26345,10.1273,9.93,-0.01,-0.027669
6.40127e-06,0.0217708,0.349066,-4.20236,10.1643,10.0547,-4.26345,10.1273,9.93,-0.01,-0.027669
6.40127e-06,0.0217708,0.349066,-4.20236,10.1643,10.0547,-4.26345,10.1273,9.93,-0.01,-0.027669
6.40127e-06,0.0217708,0.349066,-4.20236,10.1643,10.0547,-4.26345,10.1273,9.93,-0.01,-0.027669
6.40127e-06,0.0217708,0.349066,-4.20236,10.1643,10.0547,-4.26345,10.1273,9.93,-0.01,-0.027669
6.40127e-06,0.0217708,0.349066,-4.20236,10.1643,10.0547,-4.26345,10.1273,9.93,-0.01,-0.027669
6.40127e-06,0.0217708,0.349066,-4.20236,10.1643,10.0547,-4.26345,10.1273,9.93,-0.01,-0.027669
6.40127e-06,0.0217708,0.349066,-4.20236,10.1643,10.0547,-4.26345,10.1273,9.93,-0.01,-0.027669
6.40127e-06,0.0217708,0.349066,-4.20236,10.1643,10.0547,-4.26345,10.1273,9.93,-0.01,-0.027669
6.40127e-06,0.0217708,0.349066,-4.20236,10.1643,10.0547,-4.26345,10.1273,9.93,-0.01,-0.027669
