u0_opt,u1_opt,u2_opt,x,z,vel
5.24358e-06,0.152201,0.592556,-5,9.75,8.5
5.05676e-06,0.145219,0.349066,-4.83,9.75,8.68664
5.17531e-06,0.152201,0.349066,-4.65641,9.75703,8.79407
5.32168e-06,0.159182,0.349066,-4.48089,9.76829,8.8802
5.49712e-06,0.166163,0.349066,-4.30388,9.7828,8.95363
5.70346e-06,0.173145,0.349066,-4.12563,9.79992,9.01947
5.94312e-06,0.180126,0.349066,-3.94627,9.81924,9.08081
6.21931e-06,0.187107,0.349066,-3.76591,9.84052,9.13954
6.53647e-06,0.194089,0.349066,-3.58458,9.86359,9.19686
6.90124e-06,0.20107,0.349066,-3.40232,9.88836,9.2535
7.32466e-06,0.208051,0.349066,-3.21915,9.91479,9.30993
7.827e-06,0.215033,0.349066,-3.03507,9.94284,9.36647
8.36269e-06,0.208051,0.349066,-2.85011,9.97252,9.42331
8.93502e-06,0.20107,0.349066,-2.66426,10.0038,9.45918
9.55007e-06,0.194089,0.349066,-2.47776,10.0356,9.48371
1.02097e-05,0.187107,0.349066,-2.29073,10.0671,9.50212
1.09114e-05,0.180126,0.349066,-2.10322,10.098,9.51731
1.16487e-05,0.173145,0.349066,-1.91525,10.128,9.53087
1.24111e-05,0.166163,0.349066,-1.72685,10.157,9.54371
1.31855e-05,0.159182,0.349066,-1.53801,10.1848,9.55634
1.39585e-05,0.152201,0.349066,-1.34875,10.2115,9.56905
1.47194e-05,0.145219,0.349066,-1.15906,10.2369,9.582
1.54656e-05,0.138238,0.401364,-0.968948,10.261,9.59528
1.62061e-05,0.131257,0.480981,-0.778412,10.2839,9.60895
1.69657e-05,0.124275,0.603858,-0.587454,10.3055,9.62303
1.77859e-05,0.117294,0.80576,-0.396072,10.3259,9.63754
1.87139e-05,0.110313,1.19713,-0.204267,10.3449,9.6525
1.98044e-05,0.103331,1.63346,-0.0120377,10.3627,9.66791
2.11346e-05,0.0963501,2.06979,0.180616,10.3792,9.68378
2.26219e-05,0.0893688,2.44346,0.373694,10.3944,9.7001
2.4294e-05,0.0823875,2.44346,0.567196,10.4083,9.71689
2.61847e-05,0.0754061,2.44346,0.761125,10.4209,9.73414
2.83369e-05,0.0684248,2.44346,0.955479,10.4322,9.75186
3.08048e-05,0.0614435,2.44346,1.15026,10.4422,9.77004
3.36582e-05,0.0544622,2.44346,1.34547,10.4509,9.7887
3.69882e-05,0.0474808,2.44346,1.5411,10.4583,9.80784
4.09166e-05,0.0404995,2.44346,1.73717,10.4643,9.82745
4.56088e-05,0.0335182,2.44346,1.93366,10.469,9.84755
5.12954e-05,0.0265369,2.44346,2.13058,10.4724,9.86813
5.83073e-05,0.0195555,2.44346,2.32793,10.4745,9.8892
6.71362e-05,0.0125742,2.44346,2.52572,10.4752,9.91076
7.85442e-05,0.00559289,2.44346,2.72393,10.4746,9.93282
9.37765e-05,-0.00138843,2.44346,2.92258,10.4726,9.95538
0.000115014,-0.00836975,2.44346,3.12166,10.4692,9.97844
0.000146443,-0.0153511,2.44346,3.32117,10.4645,10.002
0.000197253,-0.0223324,2.44346,3.52112,10.4584,10.0261
0.000292358,-0.0293136,2.44346,3.7215,10.451,10.0507
0.000533763,-0.0362948,2.44346,3.92232,10.4422,10.0758
0.247835,-0.036326,2.44346,4.12358,10.4319,10.1015
0.25,-0.0363692,2.44346,4.32528,10.4203,10.0772
5.47826e-06,0.156198,0.592556,-5,9.75,8.75
5.25263e-06,0.149216,0.349066,-4.825,9.75,8.95842
