u0_opt,u1_opt,u2_opt,x,z,vel
4.93686e-06,0.131859,0.592556,-5,9.75,8.5
4.95359e-06,0.130986,0.349066,-4.915,9.75,8.5465
4.99009e-06,0.131859,0.349066,-4.82956,9.75224,8.59096
5.0346e-06,0.132731,0.349066,-4.74375,9.75631,8.6328
5.08679e-06,0.133604,0.349066,-4.6576,9.76187,8.67162
5.14645e-06,0.134477,0.349066,-4.57115,9.76868,8.70737
5.2135e-06,0.135349,0.349066,-4.48443,9.77651,8.74024
5.28792e-06,0.136222,0.349066,-4.39746,9.78521,8.7705
5.36979e-06,0.137095,0.349066,-4.31027,9.79462,8.79846
5.4592e-06,0.137967,0.349066,-4.22285,9.80464,8.82446
5.55631e-06,0.13884,0.349066,-4.13524,9.81517,8.84877
5.66132e-06,0.139713,0.349066,-4.04743,9.82614,8.87168
5.77436e-06,0.13884,0.349066,-3.95945,9.83748,8.89342
5.89561e-06,0.137967,0.349066,-3.87128,9.84916,8.91333
6.02538e-06,0.137095,0.349066,-3.78295,9.86108,8.93172
6.164e-06,0.136222,0.349066,-3.69446,9.8732,8.94886
6.31184e-06,0.135349,0.349066,-3.60581,9.88547,8.96497
6.46927e-06,0.134477,0.349066,-3.51702,9.89785,8.98025
6.63668e-06,0.133604,0.349066,-3.42809,9.91031,8.99485
6.8145e-06,0.132731,0.349066,-3.33902,9.92283,9.0089
7.00314e-06,0.131859,0.349066,-3.24981,9.93537,9.02249
7.20302e-06,0.130986,0.349066,-3.16046,9.94794,9.03573
7.41457e-06,0.130113,0.349066,-3.07098,9.96051,9.04867
7.63819e-06,0.129241,0.349066,-2.98137,9.97307,9.06138
7.87425e-06,0.128368,0.349066,-2.89163,9.98562,9.0739
8.12312e-06,0.127495,0.349066,-2.80176,9.99815,9.08627
8.38506e-06,0.126623,0.349066,-2.71176,10.0106,9.09851
8.6603e-06,0.12575,0.349066,-2.62163,10.0231,9.11066
8.94896e-06,0.124877,0.349066,-2.53138,10.0355,9.12272
9.25102e-06,0.124005,0.349066,-2.441,10.0479,9.13473
9.56635e-06,0.123132,0.349066,-2.35049,10.0603,9.14668
9.89461e-06,0.122259,0.349066,-2.25985,10.0726,9.15859
1.02353e-05,0.121387,0.349066,-2.16909,10.0849,9.17046
1.05876e-05,0.120514,0.349066,-2.07821,10.0971,9.18231
1.09506e-05,0.119641,0.349066,-1.98719,10.1092,9.19414
1.1323e-05,0.118769,0.349066,-1.89605,10.1214,9.20595
1.17032e-05,0.117896,0.349066,-1.80479,10.1334,9.21775
1.20897e-05,0.117023,0.349066,-1.7134,10.1454,9.22954
1.24804e-05,0.116151,0.349066,-1.62188,10.1574,9.24131
1.28732e-05,0.115278,0.349066,-1.53024,10.1693,9.25308
1.32662e-05,0.114405,0.349066,-1.43847,10.1812,9.26485
1.36573e-05,0.113533,0.349066,-1.34658,10.193,9.2766
1.40446e-05,0.11266,0.349066,-1.25456,10.2047,9.28836
1.44268e-05,0.111787,0.349066,-1.16242,10.2165,9.30011
1.48029e-05,0.110915,0.349066,-1.07015,10.2281,9.31185
1.51726e-05,0.110042,0.350452,-0.977755,10.2397,9.3236
1.55364e-05,0.109169,0.385708,-0.885236,10.2512,9.33534
1.58957e-05,0.108296,0.428377,-0.792592,10.2627,9.34708
1.62528e-05,0.107424,0.480804,-0.699823,10.2742,9.35882
1.66111e-05,0.106551,0.546293,-0.606929,10.2855,9.37056
1.6975e-05,0.105678,0.629505,-0.51391,10.2969,9.3823
1.73498e-05,0.104806,0.736887,-0.420766,10.3081,9.39404
1.77418e-05,0.103933,0.876724,-0.327497,10.3193,9.40577
1.81572e-05,0.10306,1.05756,-0.234103,10.3305,9.41751
1.8602e-05,0.102188,1.28256,-0.140585,10.3416,9.42924
1.90816e-05,0.101315,1.53978,-0.0469413,10.3526,9.44098
1.96017e-05,0.100442,1.79931,0.046827,10.3636,9.45271
2.01705e-05,0.0995697,2.02975,0.14072,10.3746,9.46444
2.08005e-05,0.0986971,2.21652,0.234738,10.3854,9.47617
