x,y,z
-1.04501,79.4068,-19.4742
-1.00782,80.4637,-19.7186
-0.985837,80.9853,-19.833
-0.923619,82.1463,-20.0726
-0.880208,82.6642,-20.1744
-0.782693,83.6875,-20.362
-0.728164,84.1933,-20.448
-0.590525,85.3177,-20.6232
-0.522269,85.8115,-20.6932
-0.371608,86.7874,-20.8204
-0.288835,87.2694,-20.878
-0.0822445,88.3408,-20.9952
0.0236522,88.819,-21.0449
0.251698,89.7614,-21.1339
0.373807,90.2256,-21.1734
0.667843,91.2534,-21.2501
0.806832,91.7028,-21.2789
1.09942,92.5881,-21.3268
1.25264,93.0242,-21.3457
1.61526,93.9928,-21.3764
1.78989,94.4274,-21.386
2.15248,95.2838,-21.3955
2.34041,95.7058,-21.3954
2.77947,96.6404,-21.3843
2.98185,97.0492,-21.3746
3.40001,97.8543,-21.3473
3.61554,98.2508,-21.3297
4.11557,99.1281,-21.2798
4.34889,99.5193,-21.2545
4.82786,100.289,-21.1958
5.07347,100.669,-21.1626
5.6409,101.507,-21.0791
5.89962,101.873,-21.0383
6.42893,102.593,-20.95
6.69946,102.947,-20.9028
7.32356,103.73,-20.7894
7.61132,104.075,-20.7363
8.19757,104.753,-20.6251
8.49601,105.086,-20.5671
9.18024,105.821,-20.4315
9.48996,106.142,-20.3691
10.1196,106.771,-20.2409
10.4395,107.08,-20.1752
11.1729,107.761,-20.0233
11.5093,108.06,-19.9529
12.1903,108.645,-19.8104
12.5352,108.932,-19.7385
13.3212,109.565,-19.5754
13.6751,109.84,-19.5025
14.3909,110.381,-19.3561
14.7527,110.646,-19.2827
15.5775,111.231,-19.1167
15.9524,111.485,-19.0406
16.7084,111.984,-18.8896
17.0896,112.228,-18.8146
17.9548,112.767,-18.6477
18.3426,113.002,-18.5744
19.124,113.464,-18.4296
19.5176,113.69,-18.3581
20.4109,114.189,-18.1986
20.8145,114.403,-18.1259
21.6259,114.825,-17.9832
22.0337,115.033,-17.9132
22.9561,115.491,-17.759
23.3682,115.691,-17.6921
24.1963,116.085,-17.5609
25.0294,116.47,-17.4331
25.5526,116.708,-17.3548
26.3969,117.073,-17.226
26.8205,117.253,-17.1632
27.6707,117.608,-17.0408
28.2039,117.828,-16.9661
29.06,118.174,-16.8499
29.4893,118.345,-16.7932
30.3502,118.682,-16.6823
30.8904,118.89,-16.6142
31.7601,119.21,-16.5039
32.1958,119.369,-16.4503
33.0688,119.683,-16.3456
33.6156,119.878,-16.2819
34.4921,120.186,-16.1827
34.9311,120.339,-16.1343
35.8106,120.643,-16.0396
36.3614,120.829,-15.9813
37.2447,121.117,-15.8868
37.6869,121.261,-15.8406
