u0_opt,u1_opt,u2_opt,x,z,vx,vz,pitch
0.500013,0.265862,0.847616,-9.70055,0.886029,11.2909,-0.01,-0.0316311
0.499993,0.303791,0.678323,-9.08317,0.886029,11.2819,-0.01,-0.0316799
0.5,0.41699,0.353588,-8.83914,0.886029,11.2819,-0.01,-0.0316997
0.499999,0.416914,0.358214,-8.47066,0.885022,11.331,-0.02,-0.031076
0.499999,0.422543,0.370895,-8.22176,0.885022,11.4292,-0.01,-0.0290062
0.499999,0.443282,0.410855,-7.84326,0.885022,11.5854,0.02,-0.0257381
0.499999,0.407382,0.535926,-7.45991,0.887006,11.7507,0.08,-0.0213444
0.5,0.372902,0.709229,-7.20586,0.88902,11.8488,0.14,-0.0147108
0.5,0.347019,0.847245,-6.94695,0.891003,11.947,0.2,-0.00804877
0.5,0.308833,0.999801,-6.55357,0.898022,12.0899,0.31,-0.00208257
0.5,0.236978,1.15086,-6.29466,0.904004,12.1791,0.39,0.00629788
0.499999,0.134791,1.29466,-5.90129,0.915021,12.2996,0.53,0.0155859
0.499999,0.0254197,1.44786,-5.64238,0.925031,12.3844,0.64,0.0272785
0.500007,-0.0829081,1.61564,-5.24415,0.943005,12.4959,0.81,0.0336591
0.500019,-0.174533,1.81076,-4.97523,0.956006,12.5674,0.9,0.0386439
0.500045,-5.23209e-08,2.28066,-4.56698,0.979016,12.7013,0.97,0.0399555
0.499995,0.118656,1.97526,-4.28804,0.995007,12.7951,0.98,0.0381785
0.499994,0.190068,1.76279,-3.87979,1.01802,12.9423,0.94,0.0342844
0.499993,0.230422,1.62348,-3.59599,1.03303,13.0405,0.9,0.0311542
0.499988,0.258265,1.5357,-3.17773,1.05403,13.1654,0.88,0.0312999
0.49995,0.289101,1.48148,-2.88392,1.06901,13.2502,0.89,0.0337997
0.500017,0.319661,1.44825,-2.45078,1.09102,13.3574,0.96,0.0384968
0.500008,0.330355,1.42795,-2.16698,1.10701,13.4198,1.03,0.0468481
0.500006,0.332409,1.41557,-1.72383,1.13301,13.5136,1.17,0.0537612
0.500004,0.328054,1.40802,-1.44003,1.15202,13.5671,1.28,0.0661881
0.500004,0.31258,1.40342,-0.996882,1.18501,13.6295,1.47,0.0752139
0.500004,0.270421,1.40061,-0.703068,1.21,13.6652,1.61,0.0867363
0.500008,0.174533,1.3989,-0.259917,1.25102,13.7233,1.82,0.100165
0.500004,1.10929e-08,1.39786,0.0439115,1.28203,13.7634,1.96,0.110002
0.500009,-0.174533,1.39722,0.491923,1.33101,13.8125,2.14,0.116077
0.500004,-0.260572,1.39684,0.785737,1.36302,13.8572,2.23,0.120429
0.500008,-0.260573,1.39661,1.22889,1.41203,13.933,2.29,0.119787
0.500018,-0.174533,1.39647,1.53758,1.44603,14.0044,2.29,0.115336
0.500021,-5.06318e-08,1.39639,1.9956,1.49702,14.116,2.24,0.108243
0.499533,4.05876e-06,1.39636,2.29943,1.529,14.2008,2.17,0.0988955
