u0_opt,u1_opt,u2_opt
0.24414,0.142167,0.349066
0.24414,0.138676,0.349066
0.24414,0.142167,0.349066
0.24414,0.145658,0.349066
0.24414,0.149148,0.349066
0.24414,0.152639,0.349066
0.24414,0.15613,0.349066
0.24414,0.15962,0.349066
0.24414,0.163111,0.349066
0.24414,0.166602,0.349066
0.24414,0.170092,0.349066
0.24414,0.173583,0.349066
0.24414,0.177074,0.349066
0.24414,0.180564,0.349066
0.24414,0.184055,0.349066
0.24414,0.187546,0.349066
0.24414,0.191036,0.349066
0.24414,0.194527,0.349066
0.24414,0.198018,0.349066
0.24414,0.194527,0.349066
0.24414,0.198018,0.355553
0.24414,0.201508,0.394728
0.24414,0.198018,0.464274
0.24414,0.194527,0.557002
0.24414,0.191036,0.674599
0.24414,0.187546,0.818341
0.24414,0.184055,0.988005
0.24414,0.180564,1.18096
0.24414,0.177074,1.39176
0.24414,0.173583,1.61252
0.24414,0.170092,1.83615
0.24414,0.166602,2.05279
0.24414,0.163111,2.25619
0.24414,0.15962,2.44346
0.24414,0.159553,2.22835
0.243348,0.141975,0.349066
0.243348,0.138484,0.349066
0.243348,0.141975,0.349066
0.243348,0.145466,0.349066
0.243348,0.148956,0.349066
0.243348,0.152447,0.349066
0.243348,0.155938,0.349066
0.243348,0.159428,0.349066
0.243348,0.162919,0.349066
0.243348,0.16641,0.349066
0.243348,0.1699,0.349066
0.243348,0.173391,0.349066
0.243348,0.176882,0.349066
0.243348,0.180372,0.349066
0.243348,0.183863,0.349066
0.243348,0.187354,0.349066
0.243348,0.190844,0.349066
0.243348,0.194335,0.349066
0.243348,0.197826,0.349066
0.243348,0.194335,0.349066
0.243348,0.19731,0.352694
0.243348,0.200188,0.39744
0.243348,0.196698,0.466597
0.243348,0.193207,0.559206
0.243348,0.189716,0.676836
0.243348,0.186226,0.820679
0.243348,0.182735,0.990442
0.243348,0.179244,1.18343
0.243348,0.175754,1.39414
0.243348,0.172263,1.61465
0.243348,0.168772,1.83797
0.243348,0.165282,2.05413
0.243348,0.161791,2.25691
0.243348,0.1583,2.44346
0.243348,0.158283,2.29021
0.267641,0.142173,0.349066
0.267641,0.138682,0.349066
0.267641,0.142173,0.349066
0.267641,0.145664,0.349066
0.267641,0.149154,0.349066
0.267641,0.152645,0.349066
0.267641,0.156136,0.349066
0.267641,0.159626,0.349066
0.267641,0.163117,0.349066
0.267641,0.166608,0.349066
0.267641,0.170098,0.349066
0.267641,0.173589,0.349066
0.267641,0.17708,0.349066
0.267641,0.18057,0.349066
0.267641,0.184061,0.349066
0.267641,0.187552,0.349066
0.267641,0.191042,0.349066
0.267641,0.194533,0.349066
0.267641,0.198024,0.349066
0.267641,0.194533,0.349066
0.267641,0.198024,0.352084
0.267641,0.19673,0.399391
0.267641,0.193239,0.468201
0.267641,0.189749,0.560706
0.267641,0.186258,0.678379
0.267641,0.182767,0.822342
0.267641,0.179277,0.992244
0.267641,0.175786,1.18534
0.267641,0.172295,1.39605
0.267641,0.168805,1.61644
0.267641,0.165314,1.83955
0.267641,0.161823,2.05534
0.267641,0.158332,2.2576
0.267641,0.154842,2.44346
0.267641,0.154497,2.40113
0.5,0.142388,0.349066
0.5,0.138897,0.349066
0.5,0.142388,0.349066
0.5,0.145879,0.349066
0.5,0.149369,0.349066
0.5,0.15286,0.349066
0.5,0.156351,0.349066
0.5,0.159841,0.349066
0.5,0.163332,0.349066
0.5,0.166823,0.349066
0.5,0.170313,0.349066
0.5,0.173804,0.349066
0.5,0.177295,0.349066
0.5,0.180785,0.349066
0.5,0.184276,0.349066
0.5,0.187767,0.349066
0.5,0.191257,0.349066
0.5,0.194748,0.349066
0.5,0.198239,0.349066
0.5,0.194748,0.349143
0.5,0.198239,0.351459
0.5,0.19632,0.399109
0.5,0.19283,0.468513
0.5,0.189339,0.561512
0.5,0.185848,0.679626
0.5,0.182358,0.823987
0.5,0.178867,0.994222
0.5,0.175376,1.18755
0.5,0.171886,1.39834
0.5,0.168395,1.61861
0.5,0.164904,1.84149
0.5,0.161414,2.05683
0.5,0.157923,2.25844
0.5,0.154432,2.44346
0.5,0.154417,2.29627
0.5,0.144138,0.349066
0.5,0.140648,0.349066
0.5,0.144138,0.349066
0.5,0.147629,0.349066
0.5,0.15112,0.349066
0.5,0.15461,0.349066
0.5,0.158101,0.349066
0.5,0.161592,0.349066
0.5,0.165082,0.349066
0.5,0.168573,0.349066
0.5,0.172064,0.349066
0.5,0.175554,0.349066
0.5,0.179045,0.349066
0.5,0.182536,0.349066
0.5,0.186026,0.349066
0.5,0.189517,0.349066
0.5,0.193008,0.349066
0.5,0.196498,0.349066
0.5,0.199989,0.349066
0.5,0.20348,0.362589
0.5,0.20697,0.397982
0.5,0.210461,0.433252
0.5,0.213952,0.518397
0.5,0.210461,0.623472
0.5,0.20697,0.755224
0.5,0.20348,0.914417
0.5,0.199989,1.09999
0.5,0.196498,1.30828
0.5,0.193008,1.53301
0.5,0.189517,1.76456
0.5,0.186026,1.99656
0.5,0.182536,2.22223
0.5,0.179045,2.43813
0.5,0.175554,2.26954
0.5,0.175537,2.17492
0.454707,0.144056,0.349066
0.454707,0.140565,0.349066
0.454707,0.144056,0.349066
0.454707,0.147546,0.349066
0.454707,0.151037,0.349066
0.454707,0.154528,0.349066
0.454707,0.158018,0.349066
0.454707,0.161509,0.349066
0.454707,0.165,0.349066
0.454707,0.16849,0.349066
0.454707,0.171981,0.349066
0.454707,0.175472,0.349066
0.454707,0.178962,0.349066
0.454707,0.182453,0.349066
0.454707,0.185944,0.349066
0.454707,0.189434,0.349066
0.454707,0.192925,0.349066
0.454707,0.196416,0.349066
0.454707,0.199906,0.349066
0.454707,0.203397,0.362765
0.454707,0.206888,0.396358
0.454707,0.210378,0.434594
0.454707,0.213869,0.520038
0.454707,0.210378,0.625469
0.454707,0.206888,0.75761
0.454707,0.203397,0.917186
0.454707,0.199906,1.10308
0.454707,0.196416,1.31158
0.454707,0.192925,1.53635
0.454707,0.189434,1.76787
0.454707,0.185944,1.99966
0.454707,0.182453,2.22496
0.454707,0.178962,2.44039
0.454707,0.175472,2.26607
0.454707,0.175448,2.15388
0.222963,0.143965,0.349066
0.222963,0.140475,0.349066
0.222963,0.143965,0.349066
0.222963,0.147456,0.349066
0.222963,0.150947,0.349066
0.222963,0.154437,0.349066
0.222963,0.157928,0.349066
0.222963,0.161419,0.349066
0.222963,0.164909,0.349066
0.222963,0.1684,0.349066
0.222963,0.171891,0.349066
0.222963,0.175381,0.349066
0.222963,0.178872,0.349066
0.222963,0.182363,0.349066
0.222963,0.185853,0.349066
0.222963,0.189344,0.349066
0.222963,0.192835,0.349066
0.222963,0.196325,0.349066
0.222963,0.199816,0.349066
0.222963,0.203307,0.362923
0.222963,0.206797,0.394708
0.222963,0.210288,0.435979
0.222963,0.213779,0.52171
0.222963,0.210288,0.627489
0.222963,0.206797,0.760012
0.222963,0.203307,0.919965
0.222963,0.199816,1.10618
0.222963,0.196325,1.31488
0.222963,0.192835,1.53968
0.222963,0.189344,1.77117
0.222963,0.185853,2.00274
0.222963,0.182363,2.22768
0.222963,0.178872,2.44264
0.222963,0.175381,2.22755
0.222963,0.175217,2.04042
0.478431,0.143865,0.349066
0.478431,0.140374,0.349066
0.478431,0.143865,0.349066
0.478431,0.147356,0.349066
0.478431,0.150846,0.349066
0.478431,0.154337,0.349066
0.478431,0.157828,0.349066
0.478431,0.161318,0.349066
0.478431,0.164809,0.349066
0.478431,0.1683,0.349066
0.478431,0.17179,0.349066
0.478431,0.175281,0.349066
0.478431,0.178772,0.349066
0.478431,0.182262,0.349066
0.478431,0.185753,0.349066
0.478431,0.189244,0.349066
0.478431,0.192734,0.349066
0.478431,0.196225,0.349066
0.478431,0.199716,0.349066
