z0,vx0,i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa
1.2,10,0,0.24414,0.142167,0.349066,-5,1.2,10,4.34414e-36,10,4.34414e-35,-4.60853,1.11783,0.142167
1.2,10,1,0.24414,0.138676,0.349066,-4.8,1.2,10,0.0688633,9.9763,0.688088,-4.40882,1.11646,0.0698132
1.2,10,2,0.24414,0.142167,0.349066,-4.60047,1.21376,10,0.0723539,9.97384,0.722908,-4.209,1.13159,0.0698132
1.2,10,3,0.24414,0.145658,0.349066,-4.401,1.22822,10,0.0758446,9.97125,0.757719,-4.00924,1.14742,0.0698132
1.2,10,4,0.24414,0.149148,0.349066,-4.20157,1.24337,10,0.0793353,9.96855,0.792521,-3.80954,1.16394,0.0698132
1.2,10,5,0.24414,0.152639,0.349066,-4.0022,1.25922,10,0.0828259,9.96572,0.827313,-3.60989,1.18116,0.0698132
1.2,10,6,0.24414,0.15613,0.349066,-3.80289,1.27577,10,0.0863166,9.96277,0.862095,-3.41031,1.19907,0.0698132
1.2,10,7,0.24414,0.15962,0.349066,-3.60363,1.29301,10,0.0898073,9.9597,0.896866,-3.21079,1.21769,0.0698132
1.2,10,8,0.24414,0.163111,0.349066,-3.40444,1.31095,10,0.0932979,9.95651,0.931626,-3.01133,1.237,0.0698132
1.2,10,9,0.24414,0.166602,0.349066,-3.20531,1.32958,10,0.0967886,9.9532,0.966376,-2.81195,1.257,0.0698132
1.2,10,10,0.24414,0.170092,0.349066,-3.00624,1.34891,10,0.100279,9.94976,1.00111,-2.61263,1.2777,0.0698132
1.2,10,11,0.24414,0.173583,0.349066,-2.80725,1.36893,10,0.10377,9.94621,1.03584,-2.41339,1.2991,0.0698132
1.2,10,12,0.24414,0.177074,0.349066,-2.60832,1.38965,10,0.107261,9.94253,1.07055,-2.21423,1.32119,0.0698132
1.2,10,13,0.24414,0.180564,0.349066,-2.40947,1.41106,10,0.110751,9.93873,1.10525,-2.01514,1.34398,0.0698132
1.2,10,14,0.24414,0.184055,0.349066,-2.2107,1.43317,10,0.114242,9.93481,1.13994,-1.81613,1.36746,0.0698132
1.2,10,15,0.24414,0.187546,0.349066,-2.012,1.45596,10,0.117733,9.93078,1.17461,-1.61721,1.39164,0.0698132
1.2,10,16,0.24414,0.191036,0.349066,-1.81339,1.47946,10,0.121223,9.92661,1.20927,-1.41837,1.41651,0.0698132
1.2,10,17,0.24414,0.194527,0.349066,-1.61485,1.50364,10,0.124714,9.92233,1.24391,-1.21962,1.44207,0.0698132
1.2,10,18,0.24414,0.198018,0.349066,-1.41641,1.52852,10,0.128205,9.91793,1.27854,-1.02096,1.46833,0.0698132
1.2,10,19,0.24414,0.194527,0.349066,-1.21805,1.55409,7.50553,0.124714,7.44724,0.93362,-0.822816,1.49252,0.0698132
1.2,10,20,0.24414,0.198018,0.355553,-1.0691,1.57276,6,0.219224,5.8564,1.30483,-0.674058,1.51001,-0.021206
1.2,10,21,0.24414,0.201508,0.394728,-0.951977,1.59886,6,0.271322,5.78051,1.60803,-0.55942,1.52205,-0.0698132
1.2,10,22,0.24414,0.198018,0.464274,-0.836367,1.63102,6,0.267831,5.78608,1.58784,-0.450461,1.52577,-0.0698132
1.2,10,23,0.24414,0.194527,0.557002,-0.720645,1.66278,6,0.26434,5.79159,1.56764,-0.346636,1.52094,-0.0698132
1.2,10,24,0.24414,0.191036,0.674599,-0.604813,1.69413,6,0.26085,5.79703,1.54741,-0.250676,1.50815,-0.0698132
1.2,10,25,0.24414,0.187546,0.818341,-0.488873,1.72508,6,0.257359,5.80239,1.52716,-0.165849,1.48916,-0.0698132
1.2,10,26,0.24414,0.184055,0.988005,-0.372825,1.75562,6,0.253868,5.80769,1.5069,-0.0952774,1.46758,-0.0698132
1.2,10,27,0.24414,0.180564,1.18096,-0.256671,1.78576,6,0.250378,5.81291,1.48662,-0.0406845,1.44908,-0.0698132
1.2,10,28,0.24414,0.177074,1.39176,-0.140413,1.81549,6,0.246887,5.81807,1.46632,-0.000959866,1.44059,-0.0698132
1.2,10,29,0.24414,0.173583,1.61252,-0.0240513,1.84482,6,0.10377,5.96772,0.621503,0.0285411,1.44829,0.0698132
1.2,10,30,0.24414,0.170092,1.83615,0.0953032,1.85725,6,0.100279,5.96986,0.600668,0.057255,1.45906,0.0698132
1.2,10,31,0.24414,0.166602,2.05279,0.2147,1.86926,6,0.0967886,5.97192,0.579825,0.0906251,1.48899,0.0698132
1.2,10,32,0.24414,0.163111,2.25619,0.334139,1.88086,6,0.0932979,5.97391,0.558976,0.134597,1.53418,0.0698132
1.2,10,33,0.24414,0.15962,2.44346,0.453617,1.89204,10,0.0898073,9.9597,0.896866,0.191961,1.58949,0.0698132
1.2,10,34,0.24414,0.159553,2.22835,0.652811,1.90997,6.0626,0.144103,5.99977,0.87062,0.461744,1.55856,0.0154503
1.2,10.25,0,0.243348,0.141975,0.349066,-5,1.2,10.25,-2.14453e-32,10.25,-2.19815e-31,-4.60855,1.11775,0.141975
1.2,10.25,1,0.243348,0.138484,0.349066,-4.795,1.2,10,0.0686711,9.97643,0.686172,-4.40384,1.11639,0.0698132
1.2,10.25,2,0.243348,0.141975,0.349066,-4.59547,1.21372,10,0.0721618,9.97397,0.720992,-4.20402,1.13148,0.0698132
1.2,10.25,3,0.243348,0.145466,0.349066,-4.39599,1.22814,10,0.0756525,9.9714,0.755803,-4.00425,1.14726,0.0698132
1.2,10.25,4,0.243348,0.148956,0.349066,-4.19656,1.24326,10,0.0791431,9.9687,0.790605,-3.80455,1.16375,0.0698132
1.2,10.25,5,0.243348,0.152447,0.349066,-3.99719,1.25907,10,0.0826338,9.96588,0.825398,-3.6049,1.18093,0.0698132
1.2,10.25,6,0.243348,0.155938,0.349066,-3.79787,1.27558,10,0.0861245,9.96294,0.86018,-3.40531,1.19881,0.0698132
1.2,10.25,7,0.243348,0.159428,0.349066,-3.59861,1.29278,10,0.0896151,9.95987,0.894952,-3.20578,1.21738,0.0698132
1.2,10.25,8,0.243348,0.162919,0.349066,-3.39942,1.31068,10,0.0931058,9.95669,0.929713,-3.00633,1.23665,0.0698132
1.2,10.25,9,0.243348,0.16641,0.349066,-3.20028,1.32928,10,0.0965965,9.95338,0.964463,-2.80694,1.25662,0.0698132
1.2,10.25,10,0.243348,0.1699,0.349066,-3.00121,1.34857,10,0.100087,9.94995,0.999201,-2.60762,1.27728,0.0698132
1.2,10.25,11,0.243348,0.173391,0.349066,-2.80222,1.36855,10,0.103578,9.94641,1.03393,-2.40837,1.29864,0.0698132
1.2,10.25,12,0.243348,0.176882,0.349066,-2.60329,1.38923,10,0.107068,9.94274,1.06864,-2.2092,1.32069,0.0698132
1.2,10.25,13,0.243348,0.180372,0.349066,-2.40443,1.4106,10,0.110559,9.93895,1.10334,-2.01011,1.34344,0.0698132
1.2,10.25,14,0.243348,0.183863,0.349066,-2.20565,1.43267,10,0.11405,9.93503,1.13803,-1.8111,1.36689,0.0698132
1.2,10.25,15,0.243348,0.187354,0.349066,-2.00695,1.45543,10,0.11754,9.931,1.1727,-1.61217,1.39103,0.0698132
1.2,10.25,16,0.243348,0.190844,0.349066,-1.80833,1.47888,10,0.121031,9.92685,1.20736,-1.41333,1.41586,0.0698132
1.2,10.25,17,0.243348,0.194335,0.349066,-1.6098,1.50303,10,0.124522,9.92257,1.242,-1.21458,1.44138,0.0698132
1.2,10.25,18,0.243348,0.197826,0.349066,-1.41134,1.52787,10,0.128012,9.91818,1.27663,-1.01591,1.4676,0.0698132
1.2,10.25,19,0.243348,0.194335,0.349066,-1.21298,1.5534,7.37219,0.124522,7.31511,0.915628,-0.81776,1.49176,0.0698132
1.2,10.25,20,0.243348,0.19731,0.352694,-1.06668,1.57171,6,0.243565,5.82291,1.44698,-0.671498,1.50981,-0.0462549
1.2,10.25,21,0.243348,0.200188,0.39744,-0.950221,1.60065,6,0.270002,5.78262,1.6004,-0.557978,1.52226,-0.0698132
1.2,10.25,22,0.243348,0.196698,0.466597,-0.834569,1.63266,6,0.266511,5.78817,1.5802,-0.44905,1.52601,-0.0698132
1.2,10.25,23,0.243348,0.193207,0.559206,-0.718805,1.66427,6,0.26302,5.79365,1.55999,-0.345298,1.52111,-0.0698132
1.2,10.25,24,0.243348,0.189716,0.676836,-0.602932,1.69547,6,0.25953,5.79906,1.53976,-0.249458,1.50823,-0.0698132
1.2,10.25,25,0.243348,0.186226,0.820679,-0.486951,1.72626,6,0.256039,5.8044,1.5195,-0.164793,1.48917,-0.0698132
1.2,10.25,26,0.243348,0.182735,0.990442,-0.370863,1.75665,6,0.252548,5.80967,1.49923,-0.0943998,1.46757,-0.0698132
1.2,10.25,27,0.243348,0.179244,1.18343,-0.254669,1.78664,6,0.249058,5.81487,1.47894,-0.0399606,1.44914,-0.0698132
1.2,10.25,28,0.243348,0.175754,1.39414,-0.138372,1.81621,6,0.245567,5.82,1.45864,-0.000308159,1.4408,-0.0698132
1.2,10.25,29,0.243348,0.172263,1.61465,-0.0219718,1.84539,6,0.10245,5.96854,0.613624,0.0292489,1.44868,0.0698132
1.2,10.25,30,0.243348,0.168772,1.83797,0.0973989,1.85766,6,0.0989592,5.97065,0.592786,0.0581014,1.4596,0.0698132
1.2,10.25,31,0.243348,0.165282,2.05413,0.216812,1.86952,6,0.0954685,5.97268,0.571941,0.0917252,1.48958,0.0698132
1.2,10.25,32,0.243348,0.161791,2.25691,0.336265,1.88095,6,0.0919778,5.97464,0.551089,0.136013,1.53469,0.0698132
1.2,10.25,33,0.243348,0.1583,2.44346,0.455758,1.89198,10,0.0884872,9.96088,0.883717,0.193703,1.58977,0.0698132
1.2,10.25,34,0.243348,0.158283,2.29021,0.654976,1.90965,6.27208,0.155334,6.19656,0.970356,0.442119,1.57099,0.00294872
1.2,10.5,0,0.267641,0.142173,0.349066,-5,1.2,10.5,-1.27649e-34,10.5,-1.34031e-33,-4.60853,1.11783,0.142173
1.2,10.5,1,0.267641,0.138682,0.349066,-4.79,1.2,10,0.0688693,9.97629,0.688148,-4.39882,1.11647,0.0698132
1.2,10.5,2,0.267641,0.142173,0.349066,-4.59047,1.21376,10,0.0723599,9.97383,0.722968,-4.199,1.1316,0.0698132
1.2,10.5,3,0.267641,0.145664,0.349066,-4.391,1.22822,10,0.0758506,9.97125,0.757779,-3.99924,1.14742,0.0698132
1.2,10.5,4,0.267641,0.149154,0.349066,-4.19157,1.24338,10,0.0793413,9.96854,0.79258,-3.79954,1.16394,0.0698132
1.2,10.5,5,0.267641,0.152645,0.349066,-3.9922,1.25923,10,0.0828319,9.96571,0.827372,-3.59989,1.18117,0.0698132
1.2,10.5,6,0.267641,0.156136,0.349066,-3.79289,1.27578,10,0.0863226,9.96277,0.862154,-3.40031,1.19908,0.0698132
1.2,10.5,7,0.267641,0.159626,0.349066,-3.59363,1.29302,10,0.0898133,9.9597,0.896926,-3.20079,1.2177,0.0698132
1.2,10.5,8,0.267641,0.163117,0.349066,-3.39444,1.31096,10,0.0933039,9.9565,0.931686,-3.00133,1.23701,0.0698132
1.2,10.5,9,0.267641,0.166608,0.349066,-3.19531,1.32959,10,0.0967946,9.95319,0.966435,-2.80195,1.25701,0.0698132
