u0_opt,u1_opt,u2_opt
5.23819e-08,0.188354,0.349066
5.75082e-08,0.184864,0.349066
6.26151e-08,0.181373,0.349066
6.81479e-08,0.177882,0.349066
7.45511e-08,0.174392,0.349066
8.23082e-08,0.170901,0.349066
9.20497e-08,0.16741,0.349066
1.04727e-07,0.16392,0.349066
1.21945e-07,0.160429,0.349066
1.46726e-07,0.156938,0.349066
1.85626e-07,0.153448,0.349066
2.56321e-07,0.149957,0.349066
4.31305e-07,0.146466,0.349066
0.82491,0.142976,0.349066
1,0.139485,0.349066
1,0.135994,0.349066
1,0.132504,0.365107
1,0.129013,0.399313
1,0.125522,0.445981
0.420621,0.122032,0.500519
3.58036e-07,0.118541,0.558274
2.30496e-07,0.11505,0.627538
1.75688e-07,0.11156,0.710768
0.0748907,0.108069,0.808083
0.114065,0.104578,0.921455
0.136702,0.101088,1.05188
0.151346,0.097597,1.19907
0.1612,0.0941063,1.36137
0.167969,0.0906157,1.5358
0.172687,0.087125,1.7183
0.17602,0.0836343,1.90423
0.178407,0.0801437,2.08913
3.12908e-06,0.076653,2.2695
3.3386e-06,0.0731623,2.44346
3.57541e-06,0.076653,2.25038
3.8487e-06,0.0801437,2.08801
4.16736e-06,0.0836343,1.95163
4.54338e-06,0.087125,1.83863
4.99337e-06,0.0906157,1.74645
5.541e-06,0.0941063,1.67233
6.22123e-06,0.097597,1.61343
7.08791e-06,0.101088,1.56707
8.22858e-06,0.104578,1.53088
9.79567e-06,0.108069,1.50287
1.20806e-05,0.11156,1.48142
1.57199e-05,0.11505,1.46524
2.24351e-05,0.118541,1.45335
3.92735e-05,0.122032,1.44502
0.372408,0.122048,1.43974
0.5,0.122055,1.43718
5.49023e-08,0.186517,0.349066
6.04668e-08,0.183026,0.349066
6.60171e-08,0.179536,0.349066
7.20822e-08,0.176045,0.349066
7.91881e-08,0.172554,0.349066
8.79228e-08,0.169064,0.349066
9.90887e-08,0.165573,0.349066
1.13961e-07,0.162082,0.349066
1.34827e-07,0.158592,0.349066
1.66356e-07,0.155101,0.349066
2.19961e-07,0.15161,0.349066
3.33279e-07,0.14812,0.349066
7.56556e-07,0.144629,0.349066
0.981197,0.141138,0.349066
1,0.137648,0.349066
1,0.134157,0.35272
1,0.130666,0.380414
1,0.127176,0.425021
1,0.123685,0.481728
0.530234,0.120194,0.546177
3.56838e-07,0.116704,0.613515
2.32556e-07,0.113213,0.691862
1.78828e-07,0.109722,0.785953
0.0789651,0.106232,0.895654
0.116162,0.102741,1.02252
0.13803,0.0992502,1.16683
0.152252,0.0957596,1.32747
0.161847,0.0922689,1.50195
0.16845,0.0887782,1.68659
0.17306,0.0852876,1.87698
0.17632,0.0817969,2.06871
2.9361e-06,0.0783062,2.25819
3.12093e-06,0.0748155,2.44346
3.32802e-06,0.0783062,2.25037
3.56488e-06,0.0817969,2.08797
3.83823e-06,0.0852876,1.95154
4.15695e-06,0.0887782,1.83846
4.53302e-06,0.0922689,1.74618
4.98303e-06,0.0957596,1.67192
5.53065e-06,0.0992502,1.61284
6.21083e-06,0.102741,1.56626
7.07741e-06,0.106232,1.52979
8.21793e-06,0.109722,1.50141
9.78482e-06,0.113213,1.4795
1.20694e-05,0.116704,1.46273
1.57084e-05,0.120194,1.45009
2.24232e-05,0.123685,1.44081
3.92612e-05,0.127176,1.43432
0.378039,0.127191,1.4302
0.5,0.127199,1.4282
5.91468e-08,0.182147,0.349066
6.52408e-08,0.178657,0.349066
7.13323e-08,0.175166,0.349066
7.80452e-08,0.171675,0.349066
8.59884e-08,0.168185,0.349066
9.58515e-08,0.164694,0.349066
1.086e-07,0.161203,0.349066
1.25812e-07,0.157713,0.349066
1.5041e-07,0.154222,0.349066
1.88656e-07,0.150731,0.349066
2.57192e-07,0.147241,0.349066
4.23091e-07,0.14375,0.349066
0.776907,0.140259,0.349066
1,0.136769,0.349066
1,0.133278,0.349066
1,0.129787,0.356093
1,0.126297,0.386107
1,0.122806,0.432162
0.973836,0.119315,0.489326
3.90836e-07,0.115825,0.552978
2.49615e-07,0.112334,0.61878
1.88411e-07,0.108843,0.700281
0.0219674,0.105353,0.797103
0.0941285,0.101862,0.909212
0.124589,0.0983712,1.03851
0.14345,0.0948805,1.18492
0.155933,0.0913898,1.347
0.164431,0.0878992,1.52192
0.170316,0.0844085,1.7057
0.174445,0.0809178,1.89374
0.177381,0.0774272,2.08151
2.96902e-06,0.0739365,2.26541
3.15611e-06,0.0704458,2.44346
3.3656e-06,0.0739365,2.25037
3.60513e-06,0.0774272,2.08797
3.88151e-06,0.0809178,1.95154
4.2037e-06,0.0844085,1.83846
4.58381e-06,0.0878992,1.74618
5.03863e-06,0.0913898,1.67192
5.59204e-06,0.0948805,1.61284
6.27936e-06,0.0983712,1.56626
7.15499e-06,0.101862,1.52979
8.30735e-06,0.105353,1.50141
