z0,vx0,i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa
1.3,10,0,5.23819e-08,0.188354,0.349066,-5,1.3,10,-9.47863e-46,10,-3.27335e-44,-4.60515,1.23599,0.188354
1.3,10,1,5.75082e-08,0.184864,0.349066,-4.8,1.3,10.4153,0.0739915,10.3868,0.769937,-4.40538,1.23461,0.110872
1.3,10,2,6.26151e-08,0.181373,0.349066,-4.59226,1.3154,10.6167,0.114966,10.5466,1.21787,-4.19788,1.24864,0.0664069
1.3,10,3,6.81479e-08,0.177882,0.349066,-4.38133,1.33976,10.7195,0.135695,10.6209,1.45012,-3.98718,1.27162,0.0421875
1.3,10,4,7.45511e-08,0.174392,0.349066,-4.16891,1.36876,10.7786,0.144957,10.6655,1.55696,-3.775,1.29924,0.0294345
1.3,10,5,8.23082e-08,0.170901,0.349066,-3.9556,1.3999,10.818,0.148069,10.6996,1.59596,-3.56194,1.32901,0.0228323
1.3,10,6,9.20497e-08,0.16741,0.349066,-3.74161,1.43182,10.8484,0.147986,10.7298,1.59955,-3.34819,1.35955,0.0194248
1.3,10,7,1.04727e-07,0.16392,0.349066,-3.52701,1.46381,10.8746,0.146274,10.7584,1.585,-3.13385,1.39017,0.0176459
1.3,10,8,1.21945e-07,0.160429,0.349066,-3.31185,1.49551,10.8988,0.143741,10.7864,1.56121,-2.91894,1.4205,0.0166882
1.3,10,9,1.46726e-07,0.156938,0.349066,-3.09612,1.52673,10.9221,0.140797,10.8141,1.53273,-2.70348,1.45035,0.0161415
1.3,10,10,1.85626e-07,0.153448,0.349066,-2.87984,1.55739,10.9452,0.137648,10.8416,1.50183,-2.48747,1.47964,0.0157994
1.3,10,11,2.56321e-07,0.149957,0.349066,-2.663,1.58742,10.9681,0.134398,10.8692,1.46966,-2.27091,1.50831,0.0155588
1.3,10,12,4.31305e-07,0.146466,0.349066,-2.44562,1.61682,10.9911,0.131098,10.8968,1.43678,-2.0538,1.53633,0.0153682
1.3,10,13,0.82491,0.142976,0.349066,-2.22769,1.64555,11.0142,0.127773,10.9244,1.40349,-1.83615,1.5637,0.0152023
1.3,10,14,1,0.139485,0.349066,-2.0092,1.67362,10.5257,0.137781,10.4259,1.44565,-1.61795,1.5904,0.00170437
1.3,10,15,1,0.135994,0.349066,-1.80068,1.70254,9.75467,0.148007,9.64803,1.4385,-1.40973,1.61795,-0.0120131
1.3,10,16,1,0.132504,0.365107,-1.60772,1.73131,8.9479,0.152326,8.84429,1.35774,-1.21849,1.6391,-0.0198227
1.3,10,17,1,0.129013,0.399313,-1.43083,1.75846,8.09105,0.158865,7.98917,1.27998,-1.04536,1.65165,-0.0298515
1.3,10,18,1,0.125522,0.445981,-1.27105,1.78406,7.18192,0.168619,7.08006,1.20528,-0.891414,1.65806,-0.043097
1.3,10,19,0.420621,0.122032,0.500519,-1.12945,1.80817,6.21856,0.183329,6.11435,1.13367,-0.757759,1.66036,-0.0612972
1.3,10,20,3.58036e-07,0.118541,0.558274,-1.00716,1.83084,6.02335,0.160072,5.94635,0.960057,-0.645216,1.66056,-0.041531
1.3,10,21,2.30496e-07,0.11505,0.627538,-0.888235,1.85004,6.01028,0.127436,5.96154,0.763857,-0.539624,1.6539,-0.012386
1.3,10,22,1.75688e-07,0.11156,0.710768,-0.769004,1.86532,6.00357,0.0946947,5.97668,0.567657,-0.438691,1.63972,0.016865
1.3,10,23,0.0748907,0.108069,0.808083,-0.64947,1.87667,6,0.0705007,5.9851,0.422654,-0.343537,1.61898,0.0375683
1.3,10,24,0.114065,0.104578,0.921455,-0.529768,1.88512,6,0.0523653,5.99178,0.314048,-0.255968,1.59352,0.0522131
1.3,10,25,0.136702,0.101088,1.05188,-0.409933,1.8914,6,0.0386057,5.99553,0.231577,-0.177519,1.56585,0.062482
1.3,10,26,0.151346,0.097597,1.19907,-0.290022,1.89604,6,0.0279087,5.99766,0.16743,-0.109108,1.53929,0.0696884
1.3,10,27,0.1612,0.0941063,1.36137,-0.170069,1.89938,6,0.0193542,5.99888,0.116118,-0.050511,1.51767,0.0747521
1.3,10,28,0.167969,0.0906157,1.5358,-0.0500916,1.90171,6,0.0122984,5.99955,0.0737886,2.01489e-05,1.50486,0.0783173
1.3,10,29,0.172687,0.087125,1.7183,0.0698994,1.90318,6,0.00629088,5.99988,0.037745,0.0457615,1.50391,0.0808341
1.3,10,30,0.17602,0.0836343,1.90423,0.189897,1.90394,6,0.00101664,6,0.00609985,0.0910114,1.51635,0.0826177
1.3,10,31,0.178407,0.0801437,2.08913,0.309897,1.90406,6,-0.00374448,5.99996,-0.0224668,0.140175,1.54185,0.0838882
1.3,10,32,3.12908e-06,0.076653,2.2695,0.429896,1.90361,6,-0.00814644,5.9998,-0.0488781,0.196816,1.57853,0.0847994
