u0_opt,u1_opt,u2_opt
1.7596e-06,0.109261,0.349066
1.76396e-06,0.10577,0.349066
1.92961e-06,0.109261,0.349066
2.14195e-06,0.112751,0.349066
2.42997e-06,0.116242,0.349066
2.85265e-06,0.119733,0.349066
3.56056e-06,0.123223,0.349066
5.1466e-06,0.126714,0.349066
0.46434,0.130205,0.349066
0.5,0.133695,0.349066
0.5,0.137186,0.349066
0.5,0.140677,0.349066
0.5,0.144167,0.349066
0.5,0.147658,0.349066
0.5,0.151149,0.349066
0.5,0.154639,0.349066
0.5,0.15813,0.349066
0.5,0.154639,0.349066
0.5,0.151149,0.372185
0.5,0.147658,0.421456
0.5,0.144167,0.494712
0.5,0.140677,0.591886
0.5,0.137186,0.713512
0.5,0.133695,0.859603
0.5,0.130205,1.02874
0.5,0.126714,1.21745
0.5,0.123223,1.42002
0.294774,0.119733,1.62896
7.73315e-06,0.116242,1.83608
5.56189e-06,0.112751,2.04239
4.66079e-06,0.109261,2.2463
5.31192e-06,0.10577,2.44346
6.965e-06,0.102279,2.25036
0.057786,0.0987887,2.08794
0.166623,0.095298,1.95148
0.166856,0.0918073,1.83836
0.167096,0.0883167,1.74601
0.167347,0.084826,1.67167
0.16762,0.0813353,1.61249
0.167931,0.0778447,1.56576
0.168319,0.074354,1.52912
0.168866,0.0708633,1.50052
0.169769,0.0673727,1.47833
0.17151,0.063882,1.4612
0.175384,0.0603913,1.44812
0.185084,0.0569007,1.43826
0.211587,0.05341,1.43102
0.286821,0.0499193,1.42595
0.5,0.0464286,1.42274
0.249943,0.042938,1.42118
1.29358e-07,0.112639,0.349066
1.31561e-07,0.109149,0.349066
1.49502e-07,0.112639,0.349066
1.75591e-07,0.11613,0.349066
2.19181e-07,0.119621,0.349066
3.16988e-07,0.123111,0.349066
0.0743267,0.126602,0.349066
0.5,0.130093,0.349066
0.5,0.133583,0.349066
0.5,0.137074,0.349066
0.5,0.140565,0.349066
0.5,0.144055,0.349066
0.5,0.147546,0.349066
0.5,0.151037,0.349066
0.5,0.154527,0.349066
0.5,0.151372,0.349066
0.5,0.147881,0.349066
0.5,0.14439,0.351862
0.5,0.1409,0.383566
0.5,0.137409,0.439813
0.5,0.133918,0.519518
0.5,0.130428,0.623024
0.5,0.126937,0.750829
0.5,0.123446,0.90257
0.5,0.119956,1.0762
0.5,0.116465,1.26747
0.5,0.112974,1.46996
0.335784,0.109484,1.67572
4.50227e-07,0.105993,1.87644
3.22471e-07,0.102502,2.07195
2.69902e-07,0.0990116,2.26229
