z0,vx0,i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa
1.3,10,0,1.7596e-06,0.109261,0.349066,-5,1.3,10,-1.68246e-32,10,-1.60867e-31,-4.61145,1.20499,0.109261
1.3,10,1,1.76396e-06,0.10577,0.349066,-4.8,1.3,10.1441,0.0359568,10.1375,0.36467,-4.41178,1.20364,0.0698132
1.3,10,2,1.92961e-06,0.109261,0.349066,-4.59725,1.30729,10.2225,0.0547041,10.2072,0.558933,-4.2087,1.21229,0.0545566
1.3,10,3,2.14195e-06,0.112751,0.349066,-4.39311,1.31847,10.2813,0.0667664,10.2583,0.685932,-4.00422,1.22482,0.045985
1.3,10,4,2.42997e-06,0.116242,0.349066,-4.18794,1.33219,10.3302,0.0750922,10.3011,0.774989,-3.79873,1.2399,0.0411498
1.3,10,5,2.85265e-06,0.119733,0.349066,-3.98192,1.34769,10.3741,0.0813534,10.3398,0.843039,-3.59239,1.25676,0.0383792
1.3,10,6,3.56056e-06,0.123223,0.349066,-3.77512,1.36455,10.4154,0.0864823,10.3765,0.899627,-3.38528,1.27498,0.0367411
1.3,10,7,5.1466e-06,0.126714,0.349066,-3.56759,1.38254,10.4554,0.0909932,10.4122,0.950059,-3.17744,1.29433,0.0357209
1.3,10,8,0.46434,0.130205,0.349066,-3.35935,1.40154,10.4948,0.0951679,10.4473,0.997261,-2.96889,1.3147,0.0350368
1.3,10,9,0.5,0.133695,0.349066,-3.1504,1.42149,10.3639,0.102992,10.309,1.06551,-2.75964,1.33601,0.0307035
1.3,10,10,0.5,0.137186,0.349066,-2.94422,1.4428,10.1982,0.109151,10.1375,1.11093,-2.55317,1.35868,0.0280351
1.3,10,11,0.5,0.140677,0.349066,-2.74147,1.46502,10.0259,0.113731,9.96113,1.1378,-2.35013,1.38227,0.0269455
1.3,10,12,0.5,0.144167,0.349066,-2.54225,1.48778,9.84884,0.117458,9.78098,1.15416,-2.15062,1.40639,0.0267097
1.3,10,13,0.5,0.147658,0.349066,-2.34663,1.51086,9.66776,0.120707,9.59741,1.16414,-1.95472,1.43084,0.0269509
1.3,10,14,0.5,0.151149,0.349066,-2.15468,1.53414,9.48307,0.123676,9.41064,1.16984,-1.76249,1.45549,0.0274724
1.3,10,15,0.5,0.154639,0.349066,-1.96647,1.55754,9.29496,0.126468,9.22073,1.17239,-1.57401,1.48026,0.0281712
1.3,10,16,0.5,0.15813,0.349066,-1.78205,1.58099,9.10352,0.129137,9.02772,1.17233,-1.38932,1.50507,0.0289935
1.3,10,17,0.5,0.154639,0.349066,-1.6015,1.60443,8.90877,0.131708,8.83161,1.16997,-1.20904,1.52715,0.022931
1.3,10,18,0.5,0.151149,0.372185,-1.42487,1.62783,8.70402,0.131167,8.62925,1.13841,-1.0346,1.54014,0.0199818
1.3,10,19,0.5,0.147658,0.421456,-1.25228,1.6506,8.49239,0.128743,8.4221,1.09032,-0.867183,1.54244,0.0189151
1.3,10,20,0.5,0.144167,0.494712,-1.08384,1.67241,8.27547,0.125137,8.21076,1.03287,-0.708167,1.53504,0.0190303
1.3,10,21,0.5,0.140677,0.591886,-0.919626,1.69306,8.05414,0.120745,7.9955,0.970134,-0.559658,1.51864,0.019932
1.3,10,22,0.5,0.137186,0.713512,-0.759716,1.71247,7.82887,0.115785,7.77645,0.904443,-0.424328,1.49449,0.0214009
1.3,10,23,0.5,0.133695,0.859603,-0.604187,1.73056,7.59995,0.110374,7.5537,0.837136,-0.305028,1.46503,0.0233212
1.3,10,24,0.5,0.130205,1.02874,-0.453113,1.7473,7.36755,0.104566,7.32731,0.768989,-0.20401,1.43433,0.0256392
1.3,10,25,0.5,0.126714,1.21745,-0.306566,1.76268,7.13181,0.0983731,7.09733,0.700447,-0.121833,1.40789,0.0283409
1.3,10,26,0.5,0.123223,1.42002,-0.16462,1.77669,6.89283,0.091784,6.86382,0.631764,-0.0563857,1.39161,0.0314394
1.3,10,27,0.294774,0.119733,1.62896,-0.0273434,1.78932,6.65072,0.0847647,6.62684,0.563072,-0.00273206,1.39008,0.0349679
1.3,10,28,7.73315e-06,0.116242,1.83608,0.105193,1.80058,6.56957,0.0722842,6.55242,0.474463,0.0457955,1.40502,0.0439578
1.3,10,29,5.56189e-06,0.112751,2.04239,0.236242,1.81007,6.5807,0.0594071,6.56909,0.390711,0.0957672,1.43555,0.0533442
1.3,10,30,4.66079e-06,0.109261,2.2463,0.367624,1.81789,6.59779,0.0494357,6.58973,0.326034,0.153036,1.48032,0.059825
1.3,10,31,5.31192e-06,0.10577,2.44346,0.499418,1.82441,6.61935,0.0415591,6.61364,0.275015,0.221857,1.53638,0.0642109
1.3,10,32,6.965e-06,0.102279,2.25036,0.631691,1.82991,6.64416,0.0351938,6.64005,0.233785,0.41339,1.49473,0.0670855
1.3,10,33,0.057786,0.0987887,2.08794,0.764492,1.83458,6.6713,0.029917,6.66831,0.199556,0.601988,1.46908,0.0688717
1.3,10,34,0.166623,0.095298,1.95148,0.897858,1.83857,6.69664,0.0254848,6.69447,0.170644,0.785246,1.45475,0.0698132
1.3,10,35,0.166856,0.0918073,1.83836,1.03175,1.84199,6.6982,0.0219942,6.69658,0.147309,0.961806,1.44815,0.0698132
1.3,10,36,0.167096,0.0883167,1.74601,1.16568,1.84493,6.69976,0.0185035,6.69862,0.123962,1.13096,1.44644,0.0698132
1.3,10,37,0.167347,0.084826,1.67167,1.29965,1.84741,6.70134,0.0150128,6.70058,0.100602,1.29323,1.44746,0.0698132
1.3,10,38,0.16762,0.0813353,1.61249,1.43366,1.84942,6.70291,0.0115222,6.70247,0.0772303,1.44952,1.44974,0.0698132
1.3,10,39,0.167931,0.0778447,1.56576,1.56771,1.85097,6.70449,0.00803149,6.70427,0.0538464,1.60082,1.45234,0.0698132
1.3,10,40,0.168319,0.074354,1.52912,1.7018,1.85205,6.70605,0.00454082,6.70598,0.0304508,1.74811,1.45474,0.0698132
1.3,10,41,0.168866,0.0708633,1.50052,1.83592,1.85266,6.70756,0.00105015,6.70756,0.00704394,1.89218,1.45663,0.0698132
1.3,10,42,0.169769,0.0673727,1.47833,1.97007,1.8528,6.70898,-0.00244052,6.70896,-0.0163734,2.03373,1.4579,0.0698132
