u0_opt,u1_opt,u2_opt,x,z,vx,vz,pitch
0.349213,0.46615,0.804878,-9.55226,0.82301,11.3127,-0,-0.0320138
0.402397,0.397695,0.668662,-9.18378,0.82301,11.3127,-0,-0.0319238
0.410749,0.482941,0.357599,-8.92973,0.82301,11.3037,-0,-0.0318578
0.408171,0.480455,0.364815,-8.56125,0.82301,11.3261,-0,-0.0314503
0.400891,0.478712,0.377721,-8.31235,0.82301,11.3752,-0,-0.0286154
0.408163,0.465862,0.402964,-7.94387,0.82301,11.4734,0.03,-0.0251229
0.401888,0.414736,0.537207,-7.68496,0.82301,11.5358,0.07,-0.0205283
0.407998,0.376377,0.706901,-7.30646,0.825024,11.6206,0.13,-0.0149135
0.416878,0.349629,0.846237,-7.04755,0.828015,11.6697,0.19,-0.00838606
0.415075,0.314399,0.995183,-6.66419,0.83302,11.7455,0.29,0.000612381
0.413967,0.248872,1.14824,-6.40528,0.838025,11.7946,0.36,0.00718677
0.410236,0.144817,1.28876,-6.01191,0.848004,11.866,0.49,0.0179769
0.410482,0.0331122,1.43957,-5.753,0.857007,11.9151,0.58,0.0254692
0.430813,-0.0777044,1.60569,-5.35963,0.872021,11.9776,0.73,0.0332783
0.454,-0.174533,1.79692,-5.10072,0.885022,12.0133,0.83,0.0376104
0.401112,-5.3496e-08,2.26774,-4.70735,0.905011,12.0981,0.91,0.0385498
0.358682,0.118167,1.89063,-4.43842,0.920026,12.1605,0.93,0.0364389
0.351551,0.189409,1.55744,-4.04505,0.942029,12.2677,0.9,0.0319734
0.308904,0.229197,1.27539,-3.77127,0.956006,12.3391,0.86,0.030265
0.233569,0.254511,1.07614,-3.36788,0.976025,12.4016,0.82,0.0302672
0.179041,0.282276,0.97644,-3.09896,0.989026,12.4373,0.82,0.0323856
0.505402,0.310793,0.936112,-2.69071,1.00901,12.4507,0.86,0.0374821
0.464048,0.322047,0.921056,-2.42179,1.02302,12.4463,0.9,0.0421847
0.45584,0.325429,0.915656,-2.00352,1.04603,12.4373,0.99,0.0493893
0.456544,0.322628,0.91377,-1.7346,1.06202,12.4864,1.06,0.0578337
0.461047,0.309039,0.913126,-1.32635,1.08802,12.5578,1.2,0.0674171
0.468098,0.26916,0.912909,-1.05257,1.10801,12.6069,1.31,0.0778528
0.47755,0.174533,0.912837,-0.639167,1.14003,12.656,1.48,0.0882885
0.473648,1.05468e-08,0.912814,-0.365382,1.16502,12.6917,1.6,0.0995655
0.66698,-0.174533,0.912806,0.0528794,1.20402,12.7498,1.78,0.106084
0.616393,-0.255729,0.912804,0.336679,1.23301,12.7989,1.87,0.10868
0.583253,-0.257322,0.912803,0.75494,1.27803,12.9061,1.95,0.108844
0.693143,-0.174533,0.912803,1.03874,1.30903,13.04,1.97,0.106002
0.522664,-5.06318e-08,0.912803,1.46702,1.35603,13.2677,1.96,0.100379
0.361115,0.00848498,0.912803,1.75081,1.38603,13.4149,1.93,0.0922919
