u0_opt,u1_opt,u2_opt,x,z,vx,vz,pitch
0.5,0.302458,0.634179,-9.99524,2.31,11.4117,-0,-0.0352573
0.5,0.349266,0.349166,-9.74635,2.309,11.4117,-0,-0.0352779
0.5,0.349216,0.349216,-9.37787,2.309,11.4117,-0,-0.0352791
0.5,0.349166,0.349266,-9.12382,2.309,11.4161,-0,-0.0342875
0.5,0.349116,0.349316,-8.75047,2.308,11.5232,-0,-0.0318864
0.5,0.349066,0.349367,-8.50644,2.308,11.6304,0.01,-0.0282265
0.5,0.349016,0.349417,-8.11307,2.309,11.7866,0.07,-0.0234189
0.5,0.348965,0.349467,-7.85902,2.31,11.8938,0.11,-0.0176088
0.5,0.348915,0.349517,-7.47566,2.314,12.0501,0.2,-0.010803
0.5,0.348865,0.349567,-7.07227,2.32,12.184,0.31,-0.00302939
0.5,0.348815,0.349617,-6.81336,2.326,12.2778,0.39,0.00563655
0.5,0.348765,0.349667,-6.54444,2.333,12.3626,0.49,0.0151995
0.5,0.348714,0.349717,-6.13619,2.345,12.4831,0.64,0.0278565
0.5,0.348664,0.349767,-5.74282,2.361,12.5946,0.81,0.0369504
0.5,0.348614,0.349817,-5.4739,2.373,12.6527,0.93,0.0490294
0.5,0.348564,0.349867,-5.20011,2.388,12.7151,1.06,0.0617408
0.5,0.348514,0.349917,-4.79673,2.414,12.8,1.27,0.0749992
0.5,0.348463,0.349967,-4.52294,2.434,12.849,1.42,0.088088
0.5,0.348413,0.350018,-4.10468,2.469,12.9205,1.64,0.100669
0.5,0.348363,0.350068,-3.68642,2.51,12.9829,1.85,0.112523
0.5,0.348313,0.350118,-3.41749,2.54,13.0187,1.99,0.123798
0.5,0.348262,0.350168,-3.13369,2.572,13.0544,2.12,0.134514
0.5,0.348212,0.350218,-2.71543,2.624,13.1035,2.31,0.144594
0.5,0.348162,0.350268,-2.43163,2.662,13.1392,2.43,0.154124
0.5,0.348111,0.350318,-2.00336,2.721,13.1883,2.6,0.16312
0.5,0.348061,0.350368,-1.71956,2.763,13.215,2.71,0.17162
0.5,0.348011,0.350418,-1.29128,2.83,13.2597,2.87,0.179598
0.5,0.34796,0.350468,-1.00748,2.876,13.2864,2.97,0.19015
0.5,0.34791,0.350518,-0.579207,2.948,13.3355,3.11,0.197096
0.5,0.34786,0.350568,-0.285393,2.998,13.3579,3.2,0.203647
0.5,0.34781,0.350618,0.147743,3.076,13.398,3.33,0.209791
0.5,0.347759,0.350668,0.441557,3.13,13.4203,3.41,0.21568
0.5,0.347709,0.350718,0.869833,3.212,13.456,3.53,0.22129
0.5,0.347659,0.350768,1.15849,3.265,13.4828,3.6,0.226534
0.5,0.347608,0.350818,1.60164,3.349,13.5185,3.71,0.231452
0.5,0.347558,0.350868,1.89546,3.406,13.5452,3.77,0.23618
0.5,0.347507,0.350918,2.32859,3.494,13.5719,3.87,0.240665
0.5,0.347457,0.350968,2.77175,3.584,13.6077,3.96,0.244869
0.5,0.347407,0.351018,3.06556,3.646,13.6344,4.02,0.248863
0.5,0.347356,0.351068,3.80738,3.805,13.6835,4.16,0.252529
0.5,0.347306,0.351118,4.1012,3.87,13.7102,4.21,0.256155
0.5,0.347256,0.351168,4.54921,3.969,13.7369,4.29,0.259565
0.5,0.347206,0.351218,4.84302,4.037,13.7593,4.33,0.262744
0.5,0.349371,0.349077,5.28617,4.14,13.786,4.4,0.265766
0.5,0.349538,0.349255,5.59486,4.209,13.8127,4.45,0.268664
0.499979,0.44315,0.442489,6.03801,4.315,13.8395,4.51,0.271867
0.500021,0.467542,0.61083,6.3467,4.386,13.8618,4.55,0.273993
0.5,0.523599,0.796271,6.78985,4.495,13.8886,4.6,0.277395
0.5,0.523599,0.954382,7.24302,4.605,13.8975,4.69,0.283005
0.5,0.523599,1.1359,7.55171,4.68,13.8886,4.78,0.290679
0.5,0.505835,1.32402,7.84552,4.757,13.8662,4.89,0.300061
0.5,0.397378,1.44372,8.30355,4.875,13.8215,5.06,0.310119
0.5,0.268348,1.55826,8.60222,4.955,13.7991,5.18,0.323548
0.5,0.138004,1.68644,9.04537,5.079,13.7544,5.36,0.330976
0.5,0.0218201,1.84318,9.35406,5.164,13.741,5.44,0.332818
0.5,0.196353,2.305,9.79721,5.293,13.7588,5.5,0.331992
0.5,0.370886,1.7814,10.0959,5.38,13.7945,5.5,0.328065
