u0_opt,u1_opt,u2_opt,x,z,vel
4.95254e-06,0.131859,0.592556,-5,9.5,8.5
4.86746e-06,0.130986,0.349066,-4.915,9.5,8.5465
4.906e-06,0.131859,0.349066,-4.82956,9.50224,8.59096
4.95207e-06,0.132731,0.349066,-4.74375,9.50631,8.6328
5.00541e-06,0.133604,0.349066,-4.6576,9.51187,8.67162
5.0659e-06,0.134477,0.349066,-4.57115,9.51868,8.70737
5.13349e-06,0.135349,0.349066,-4.48443,9.52651,8.74024
5.20822e-06,0.136222,0.349066,-4.39746,9.53521,8.7705
5.29017e-06,0.137095,0.349066,-4.31027,9.54462,8.79846
5.3795e-06,0.137967,0.349066,-4.22285,9.55464,8.82446
5.47636e-06,0.13884,0.349066,-4.13524,9.56517,8.84877
5.58099e-06,0.139713,0.349066,-4.04743,9.57614,8.87168
5.69362e-06,0.140585,0.349066,-3.95945,9.58748,8.89342
5.81454e-06,0.141458,0.349066,-3.87128,9.59916,8.91419
5.94405e-06,0.142331,0.349066,-3.78294,9.61111,8.93416
6.08249e-06,0.143203,0.349066,-3.69444,9.62332,8.95348
6.23021e-06,0.144076,0.349066,-3.60578,9.63576,8.97227
6.3876e-06,0.144949,0.349066,-3.51695,9.64841,8.99063
6.55506e-06,0.145821,0.349066,-3.42796,9.66125,9.00864
6.73301e-06,0.146694,0.349066,-3.33882,9.67426,9.02638
6.92188e-06,0.147567,0.349066,-3.24953,9.68744,9.04389
7.12211e-06,0.14844,0.349066,-3.16008,9.70078,9.06122
7.33412e-06,0.149312,0.349066,-3.07047,9.71427,9.07841
7.55834e-06,0.150185,0.349066,-2.98072,9.7279,9.09549
7.79516e-06,0.151058,0.349066,-2.89081,9.74168,9.11248
8.04494e-06,0.15193,0.349066,-2.80076,9.75559,9.12941
8.30799e-06,0.152803,0.349066,-2.71055,9.76963,9.14629
8.58454e-06,0.153676,0.349066,-2.62019,9.78381,9.16313
8.87471e-06,0.154548,0.349066,-2.52968,9.79811,9.17995
9.17851e-06,0.155421,0.349066,-2.43903,9.81255,9.19675
9.4958e-06,0.156294,0.349066,-2.34822,9.82711,9.21354
9.82625e-06,0.157166,0.349066,-2.25726,9.8418,9.23032
1.01693e-05,0.158039,0.349066,-2.16615,9.85661,9.24711
1.05243e-05,0.158912,0.349066,-2.0749,9.87156,9.2639
1.08901e-05,0.159784,0.349066,-1.98349,9.88662,9.28069
