z0,vx0,i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa
1.3,10,0,0.5,0.115058,0.349066,-2,1.3,10,2.15669e-44,10,4.19864e-43,-1.6109,1.20725,0.115058
1.3,10,1,0.5,0.111568,0.349066,-1.8,1.3,9.95098,0.0417546,9.94231,0.415379,-1.41123,1.20589,0.0698132
1.3,10,2,0.5,0.115058,0.349066,-1.60115,1.30831,9.82002,0.0630062,9.80054,0.618313,-1.21206,1.21556,0.0520523
1.3,10,3,0.5,0.118549,0.349066,-1.40514,1.32067,9.66254,0.0759944,9.63465,0.733592,-1.01572,1.22928,0.0425548
1.3,10,4,0.5,0.12204,0.349066,-1.21245,1.33535,9.49073,0.0843875,9.45695,0.799949,-0.822714,1.24531,0.0376523
1.3,10,5,0.5,0.12553,0.390099,-1.02331,1.35134,9.31009,0.0902041,9.27224,0.83867,-0.637229,1.24675,0.0353264
1.3,10,6,0.5,0.129021,0.497419,-0.837866,1.36812,9.12326,0.0945501,9.08251,0.861321,-0.464704,1.22407,0.0344711
1.3,10,7,0.5,0.132512,0.661262,-0.656216,1.38534,8.9316,0.0980327,8.88871,0.874187,-0.310841,1.18356,0.0344791
1.3,10,8,0.5,0.129021,0.872665,-0.478442,1.40283,8.73579,0.100986,8.69128,0.880697,-0.184039,1.13204,0.0280348
1.3,10,9,0.5,0.12553,1.13446,-0.304616,1.42044,8.53005,0.100598,8.48692,0.85666,-0.0915105,1.08194,0.0249324
1.3,10,10,0.5,0.12204,1.39626,-0.134878,1.43758,8.31749,0.0981631,8.27745,0.81516,-0.0179798,1.05504,0.0238768
1.3,10,11,0.5,0.118549,1.65806,0.0306715,1.45388,8.09975,0.0944234,8.06367,0.76367,0.0431825,1.05407,0.0241258
1.3,10,12,0.5,0.115058,1.91986,0.191945,1.46915,7.87769,0.0898006,7.84595,0.706471,0.0991939,1.08005,0.0252578
1.3,10,13,1.81766e-06,0.111568,2.18166,0.348864,1.48328,7.65182,0.0845294,7.62449,0.646033,0.15734,1.13211,0.0270384
1.3,10,14,1.87552e-06,0.108077,2.44346,0.501354,1.4962,7.66043,0.0727522,7.64017,0.556821,0.224458,1.20753,0.035325
1.3,10,15,1.93781e-06,0.111568,2.25035,0.654157,1.50734,7.67454,0.0639189,7.65887,0.490214,0.438983,1.17014,0.047649
1.3,10,16,2.00522e-06,0.115058,2.0879,0.807334,1.51714,7.6972,0.059468,7.68359,0.457467,0.650813,1.14904,0.0555905
1.3,10,17,2.07795e-06,0.118549,1.9514,0.961006,1.52629,7.72623,0.0579295,7.71327,0.447326,0.857382,1.13995,0.0606197
1.3,10,18,2.15633e-06,0.12204,1.8382,1.11527,1.53524,7.75981,0.0583332,7.74661,0.452398,1.05733,1.13946,0.0637066
1.3,10,19,2.24078e-06,0.12553,1.74576,1.2702,1.54429,7.79657,0.0600331,7.78253,0.467771,1.25044,1.14478,0.0654974
1.3,10,20,2.33185e-06,0.129021,1.67128,1.42585,1.55364,7.83552,0.0625971,7.82017,0.490161,1.43727,1.1538,0.066424
1.3,10,21,2.43017e-06,0.132512,1.61193,1.58226,1.56345,7.87595,0.0657354,7.85894,0.517356,1.61876,1.16511,0.0667764
1.3,10,22,2.53654e-06,0.136002,1.565,1.73944,1.57379,7.91738,0.0692535,7.8984,0.547868,1.79597,1.17781,0.066749
1.3,10,23,2.65186e-06,0.139493,1.52808,1.8974,1.58475,7.95946,0.0730211,7.93825,0.580692,1.96989,1.19137,0.0664721
1.3,10,24,2.77721e-06,0.142984,1.49914,2.05617,1.59636,8.00197,0.0769508,7.97829,0.61515,2.14137,1.20554,0.0660331
1.3,10,25,2.91387e-06,0.146475,1.47651,2.21574,1.60867,8.04476,0.0809842,8.01839,0.650786,2.31111,1.2202,0.0654904
1.3,10,26,3.06336e-06,0.149965,1.45884,2.3761,1.62168,8.08773,0.0850823,8.05847,0.687293,2.47968,1.23532,0.0648828
1.3,10,27,3.22747e-06,0.153456,1.44505,2.53727,1.63543,8.13081,0.0892195,8.09847,0.724464,2.64751,1.25092,0.0642363
1.3,10,28,3.40836e-06,0.156947,1.43429,2.69924,1.64992,8.17395,0.0933785,8.13834,0.762163,2.81495,1.26702,0.063568
1.3,10,29,3.60866e-06,0.160437,1.4259,2.86201,1.66516,8.21714,0.0975482,8.17808,0.800297,2.98225,1.28366,0.062889
1.3,10,30,3.83155e-06,0.163928,1.41936,3.02557,1.68117,8.26036,0.101721,8.21766,0.838805,3.14963,1.30089,0.0622067
1.3,10,31,4.08094e-06,0.167419,1.41427,3.18992,1.69794,8.3036,0.105893,8.25709,0.877648,3.31725,1.31875,0.0615259
1.3,10,32,4.36173e-06,0.170909,1.41029,3.35507,1.7155,8.34686,0.11006,8.29636,0.916799,3.48522,1.33726,0.0608495
1.3,10,33,4.68007e-06,0.1744,1.4072,3.52099,1.73383,8.39014,0.11422,8.33547,0.956241,3.65363,1.35646,0.0601795
1.3,10,34,5.04383e-06,0.177891,1.40479,3.6877,1.75296,8.43343,0.118373,8.37441,0.995965,3.82257,1.37638,0.0595171
1.3,10,35,5.46323e-06,0.181381,1.40291,3.85519,1.77288,8.47675,0.122518,8.41321,1.03596,3.99207,1.39703,0.0588628
1.3,10,36,5.95181e-06,0.184872,1.40144,4.02345,1.79359,8.5201,0.126655,8.45186,1.07623,4.1622,1.41843,0.0582169
1.3,10,37,6.52785e-06,0.188363,1.4003,4.19249,1.81512,8.56349,0.130783,8.49035,1.11677,4.33297,1.4406,0.0575797
1.3,10,38,7.21667e-06,0.191853,1.39942,4.3623,1.83745,8.60691,0.134902,8.52871,1.15757,4.50442,1.46355,0.0569512
1.3,10,39,8.05437e-06,0.195344,1.39873,4.53287,1.86061,8.65038,0.139013,8.56693,1.19864,4.67655,1.4873,0.0563311
1.3,10,40,9.09424e-06,0.198835,1.39819,4.70421,1.88458,8.6939,0.143115,8.60502,1.23999,4.8494,1.51186,0.0557194
1.3,10,41,1.04184e-05,0.202325,1.39777,4.87631,1.90938,8.73748,0.147209,8.64298,1.2816,5.02295,1.53723,0.055116
1.3,10,42,1.21602e-05,0.205816,1.39745,5.04917,1.93501,8.78113,0.151295,8.68082,1.32348,5.19723,1.56342,0.0545206
1.3,10,43,1.45518e-05,0.209307,1.3972,5.22279,1.96148,8.82484,0.155374,8.71853,1.36564,5.37223,1.59045,0.053933
1.3,10,44,1.80372e-05,0.212797,1.39701,5.39716,1.98879,8.86863,0.159444,8.75614,1.40807,5.54797,1.61831,0.0533531
1.3,10,45,2.35858e-05,0.216288,1.39687,5.57228,2.01695,8.9125,0.163507,8.79363,1.45077,5.72444,1.64702,0.0527806
1.3,10,46,3.38192e-05,0.219779,1.39677,5.74815,2.04597,8.95647,0.167563,8.83102,1.49376,5.90164,1.67659,0.0522155
1.3,10,47,5.94671e-05,0.223269,1.39669,5.92477,2.07585,9.00052,0.171612,8.86831,1.53703,6.07957,1.70701,0.0516574
1.3,10,48,0.253727,0.223055,1.39665,6.10214,2.10659,9.04468,0.175654,8.90551,1.58057,6.25688,1.73773,0.0474012
1.3,10,49,0.25,0.222966,1.39662,6.28025,2.1382,9.03078,0.180718,8.88371,1.62316,6.43496,1.76933,0.0422477
1.3,10.25,0,0.5,0.118539,0.349066,-2,1.3,10.25,1.12113e-42,10.25,1.10335e-41,-1.61058,1.2086,0.118539
1.3,10.25,1,0.5,0.115048,0.349066,-1.795,1.3,10.2224,0.0452349,10.2119,0.46225,-1.4059,1.20724,0.0698132
1.3,10.25,2,0.5,0.118539,0.349066,-1.59076,1.30925,10.101,0.0679909,10.0777,0.68625,-1.20134,1.21785,0.0505478
1.3,10.25,3,0.5,0.122029,0.349066,-1.38921,1.32297,9.94997,0.0816393,9.91683,0.811407,-0.999473,1.23293,0.0403901
1.3,10.25,4,0.5,0.12552,0.349066,-1.19087,1.3392,9.78344,0.0903244,9.74356,0.882482,-0.800824,1.25052,0.0351957
1.3,10.25,5,0.5,0.129011,0.390749,-0.996,1.35685,9.60769,0.0962892,9.56319,0.923688,-0.609623,1.25334,0.0327215
1.3,10.25,6,0.5,0.132501,0.499649,-0.804736,1.37532,9.42565,0.10074,9.37786,0.947936,-0.431394,1.23174,0.0317612
1.3,10.25,7,0.5,0.129011,0.658724,-0.617179,1.39428,9.23876,0.104327,9.18852,0.962104,-0.271998,1.19217,0.0246838
1.3,10.25,8,0.5,0.12552,0.872665,-0.433409,1.41352,9.0412,0.104261,8.9921,0.94094,-0.139956,1.1417,0.0212588
1.3,10.25,9,0.5,0.122029,1.13446,-0.253567,1.43234,8.83663,0.102057,8.79065,0.900276,-0.0416476,1.09309,0.0199723
1.3,10.25,10,0.5,0.118539,1.39626,-0.0777535,1.45035,8.62685,0.0985566,8.58499,0.848857,0.0378042,1.0674,0.0199821
1.3,10.25,11,0.5,0.115048,1.65806,0.0939462,1.46732,8.41278,0.0942263,8.37546,0.791533,0.105057,1.06748,0.0208217
1.3,10.25,12,0.5,0.111557,1.91986,0.261455,1.48315,8.19492,0.0893215,8.16225,0.73101,0.167343,1.09438,0.0222359
1.3,10.25,13,3.08273e-06,0.108067,2.18166,0.4247,1.49777,7.97357,0.0839774,7.94547,0.668813,0.231948,1.14728,0.0240893
1.3,10.25,14,3.18263e-06,0.104576,2.44346,0.58361,1.51115,7.98265,0.0727423,7.96154,0.580164,0.305705,1.22345,0.0318338
1.3,10.25,15,3.29037e-06,0.108067,2.25035,0.74284,1.52275,7.99694,0.0643762,7.98037,0.514457,0.526487,1.18631,0.0436905
1.3,10.25,16,3.40698e-06,0.111557,2.0879,0.902448,1.53304,8.01956,0.0604003,8.00493,0.484089,0.744639,1.16549,0.0511571
1.3,10.25,17,3.53278e-06,0.115048,1.9514,1.06255,1.54273,8.04827,0.0592705,8.03413,0.476745,0.95757,1.15675,0.0557776
1.3,10.25,18,3.66833e-06,0.118539,1.8382,1.22323,1.55226,8.08124,0.0599922,8.06671,0.484521,1.1639,1.15668,0.0585466
1.3,10.25,19,3.81437e-06,0.122029,1.74576,1.38456,1.56195,8.11714,0.0619194,8.10159,0.502287,1.3634,1.16251,0.06011
1.3,10.25,20,3.97183e-06,0.12552,1.67128,1.5466,1.572,8.15502,0.0646306,8.13799,0.526697,1.55661,1.17212,0.0608894
1.3,10.25,21,4.14183e-06,0.129011,1.61193,1.70935,1.58253,8.19421,0.0678504,8.17535,0.555554,1.74446,1.18407,0.0611603
1.3,10.25,22,4.32573e-06,0.132501,1.565,1.87286,1.59364,8.23427,0.0713985,8.21329,0.587416,1.92801,1.19746,0.0611029
1.3,10.25,23,4.52512e-06,0.135992,1.52808,2.03713,1.60539,8.27492,0.0751571,8.25156,0.621334,2.10823,1.21176,0.0608349
1.3,10.25,24,4.74187e-06,0.139483,1.49914,2.20216,1.61782,8.31595,0.0790493,8.28998,0.656686,2.28599,1.2267,0.0604334
