t,north,east,down,vel,roll,pitch,speed,throttle
0,nan,nan,nan,0,-3.82101,13.4469,nan,nan
0.01,3.70402,133.389,-5.09123,19.0895,-3.83198,13.4748,nan,nan
0.02,3.70402,133.389,-5.09123,19.0895,-3.84088,13.5007,nan,nan
0.03,3.70349,134.007,-5.26617,19.0944,-3.84572,13.5189,nan,nan
0.04,3.70349,134.007,-5.26617,19.0944,-3.84948,13.5378,nan,nan
0.05,3.70309,134.627,-5.43952,19.1008,-3.85258,13.5657,19.6468,0.006
0.06,3.70309,134.627,-5.43952,19.1008,-3.84911,13.5802,19.6468,0.006
0.07,3.70125,135.257,-5.60647,19.1134,-3.85033,13.591,19.6468,0.006
0.08,3.7005,136.042,-5.81757,19.128,-3.84627,13.6102,19.6468,0.006
0.09,3.7005,136.042,-5.81757,19.128,-3.84157,13.6248,19.6468,0.006
0.1,3.70083,136.512,-5.94541,19.1364,-3.83903,13.6452,19.6478,0.006
0.11,3.70083,136.512,-5.94541,19.1364,-3.83209,13.6604,19.6478,0.006
0.12,3.70254,137.294,-6.16042,19.1469,-3.82611,13.6808,19.6478,0.006
0.13,3.70498,137.919,-6.33404,19.1556,-3.82027,13.6999,19.6478,0.006
0.14,3.70498,137.919,-6.33404,19.1556,-3.81697,13.7091,19.6478,0.006
0.15,3.70833,138.542,-6.50891,19.1633,-3.81362,13.7192,19.6478,0.006
0.16,3.70833,138.542,-6.50891,19.1633,-3.80909,13.734,19.6495,0.006
0.17,3.71255,139.165,-6.68498,19.1704,-3.79757,13.7568,19.6495,0.006
0.18,3.71255,139.165,-6.68498,19.1704,-3.79024,13.771,19.6495,0.006
0.19,3.71764,139.788,-6.86199,19.177,-3.77354,13.7847,19.6495,0.006
0.2,3.7235,140.409,-7.04012,19.1834,-3.76378,13.7962,19.6495,0.006
0.21,3.7235,140.409,-7.04012,19.1834,-3.7498,13.8132,19.8119,0.006
0.22,3.73191,141.185,-7.2643,19.1883,-3.73646,13.8334,19.8119,0.006
0.23,3.73191,141.185,-7.2643,19.1883,-3.71951,13.8489,19.8119,0.006
0.24,3.73949,141.805,-7.44459,19.1911,-3.70602,13.8604,19.8119,0.006
0.25,3.73949,141.805,-7.44459,19.1911,-3.69015,13.8755,19.8119,0.006
0.26,3.74776,142.425,-7.62572,19.1949,-3.67191,13.8848,19.7145,0.006
0.27,3.75393,143.056,-7.79769,19.2075,-3.6503,13.8899,19.7145,0.006
0.28,3.75393,143.056,-7.79769,19.2075,-3.63685,13.8967,19.7145,0.006
0.29,3.76086,143.685,-7.97124,19.2184,-3.61932,13.9027,19.7145,0.006
0.3,3.76086,143.685,-7.97124,19.2184,-3.60032,13.9085,19.7145,0.006
0.31,3.76856,144.314,-8.14637,19.2285,-3.57944,13.9103,19.7408,0.006
0.32,3.76856,144.314,-8.14637,19.2285,-3.56748,13.9156,19.7408,0.006
0.33,3.77917,145.098,-8.36717,19.2382,-3.55159,13.928,19.7408,0.006
0.34,3.78841,145.724,-8.54518,19.2454,-3.53134,13.9478,19.7408,0.006
0.35,3.78841,145.724,-8.54518,19.2454,-3.51727,13.9601,19.7408,0.006
0.36,3.79829,146.349,-8.72433,19.2521,-3.49951,13.9732,19.8037,0.006
0.37,3.79829,146.349,-8.72433,19.2521,-3.48427,13.9793,19.8037,0.006
0.38,3.80882,146.974,-8.90447,19.2596,-3.46264,13.9931,19.8037,0.006
0.39,3.80882,146.974,-8.90447,19.2596,-3.45824,13.998,19.8037,0.006
0.4,3.81995,147.598,-9.08558,19.2651,-3.43874,14.0057,19.8037,0.006
0.41,3.81995,147.598,-9.08558,19.2651,-3.42755,14.0149,19.8037,0.006
0.42,3.83469,148.377,-9.31328,19.2707,-3.40664,14.0241,19.7832,0.006
0.43,3.83469,148.377,-9.31328,19.2707,-3.39635,14.0332,19.7832,0.006
0.44,3.84712,148.999,-9.4963,19.2732,-3.36966,14.0518,19.7832,0.006
0.45,3.86007,149.621,-9.68009,19.2752,-3.34545,14.0652,19.7832,0.006
0.46,3.86007,149.621,-9.68009,19.2752,-3.3321,14.079,19.7832,0.006
0.47,3.87349,150.246,-9.86236,19.2814,-3.30912,14.0819,19.8135,0.006
0.48,3.8873,150.878,-10.0394,19.2914,-3.2879,14.0838,19.8135,0.006
0.49,3.8873,150.878,-10.0394,19.2914,-3.26275,14.0904,19.8135,0.006
0.5,3.90163,151.509,-10.2178,19.301,-3.24843,14.0936,19.8135,0.006
0.51,3.90163,151.509,-10.2178,19.301,-3.22531,14.0975,19.8135,0.006
