i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa,aoa_true
0,0.408075,-0.249654,1.03391,9.53988,3.593,18.76,0.69,14.4686,11.9414,9.6532,3.20939,-0.939654,-0.939654
1,0.488637,-0.284254,1.03824,10.9867,4.78714,6,-0.523599,5.19615,-3,11.085,4.39941,0.239345,0.239345
2,0.473666,-0.291042,1.04564,11.5063,4.48714,6,-0.523599,5.19615,-3,11.5991,4.09806,0.232556,0.232556
3,0.479883,-0.292007,1.05202,12.026,4.18714,6,-0.523599,5.19615,-3,12.1159,3.79738,0.231592,0.231592
4,0.480905,-0.291001,1.05908,12.5456,3.88714,6,-0.523599,5.19615,-3,12.6332,3.49685,0.232598,0.232598
5,0.4711,-0.291207,1.06699,13.0652,3.58714,6,-0.523599,5.19615,-3,13.1496,3.19615,0.232392,0.232392
6,0.46126,-0.290089,1.07482,13.5848,3.28714,6,-0.523599,5.19615,-3,13.6666,2.89559,0.233509,0.233509
7,0.467578,-0.279763,1.08039,14.1044,2.98714,6,-0.523599,5.19615,-3,14.1881,2.59599,0.243836,0.243836
8,0.465718,-0.257025,1.08162,14.624,2.68714,6,-0.523599,5.19615,-3,14.7161,2.29787,0.266573,0.266573
9,0.403979,-0.18602,1.07795,15.1437,2.38714,6.70203,-0.31348,6.37541,-2.06671,15.2645,2.00582,0.12746,0.12746
