i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa,aoa_true
0,0.5,0.302458,0.634179,-10,2,10,4.29969e-34,10,4.29969e-33,-9.62181,1.86973,0.302458,0.302458
1,0.5,0.349266,0.349166,-9.8,2,10,0.000300754,10,0.00300754,-9.4,2.00004,0.348966,0.348966
2,0.5,0.349216,0.349216,-9.6,2.00006,10,0.000300757,10,0.00300757,-9.2,2.00006,0.348915,0.348915
3,0.5,0.349166,0.349266,-9.4,2.00012,10,0.000300759,10,0.00300759,-9,2.00008,0.348865,0.348865
4,0.5,0.349116,0.349316,-9.2,2.00018,10,0.000300761,10,0.00300761,-8.8,2.0001,0.348815,0.348815
5,0.5,0.349066,0.349367,-9,2.00024,10,0.000300763,10,0.00300763,-8.6,2.00012,0.348765,0.348765
6,0.5,0.349016,0.349417,-8.8,2.0003,10,0.000300765,10,0.00300765,-8.4,2.00014,0.348715,0.348715
7,0.5,0.348965,0.349467,-8.6,2.00036,10,0.000300767,10,0.00300767,-8.2,2.00016,0.348665,0.348665
8,0.5,0.348915,0.349517,-8.4,2.00042,10,0.000300769,10,0.00300769,-8,2.00018,0.348614,0.348614
9,0.5,0.348865,0.349567,-8.2,2.00048,10,0.000300772,10,0.00300772,-7.8,2.0002,0.348564,0.348564
10,0.5,0.348815,0.349617,-8,2.00054,10,0.000300774,10,0.00300774,-7.6,2.00022,0.348514,0.348514
11,0.5,0.348765,0.349667,-7.8,2.0006,10,0.000300776,10,0.00300776,-7.4,2.00024,0.348464,0.348464
12,0.5,0.348714,0.349717,-7.6,2.00066,10,0.000300778,10,0.00300778,-7.2,2.00026,0.348414,0.348414
13,0.5,0.348664,0.349767,-7.4,2.00072,10,0.00030078,10,0.0030078,-7,2.00028,0.348363,0.348363
14,0.5,0.348614,0.349817,-7.2,2.00078,10,0.000300782,10,0.00300782,-6.8,2.0003,0.348313,0.348313
15,0.5,0.348564,0.349867,-7,2.00084,10,0.000300785,10,0.00300785,-6.6,2.00032,0.348263,0.348263
16,0.5,0.348514,0.349917,-6.8,2.0009,10,0.000300787,10,0.00300787,-6.4,2.00034,0.348213,0.348213
17,0.5,0.348463,0.349967,-6.6,2.00096,10,0.000300789,10,0.00300789,-6.2,2.00036,0.348162,0.348162
18,0.5,0.348413,0.350018,-6.4,2.00102,10,0.000300791,10,0.00300791,-6,2.00038,0.348112,0.348112
19,0.5,0.348363,0.350068,-6.2,2.00108,10,0.000300793,10,0.00300793,-5.8,2.0004,0.348062,0.348062
20,0.5,0.348312,0.350118,-6,2.00114,10,0.000300796,10,0.00300796,-5.6,2.00042,0.348012,0.348012
21,0.5,0.348262,0.350168,-5.8,2.0012,10,0.000300798,10,0.00300798,-5.4,2.00044,0.347961,0.347961
22,0.5,0.348212,0.350218,-5.6,2.00126,10,0.0003008,10,0.003008,-5.2,2.00046,0.347911,0.347911
23,0.5,0.348162,0.350268,-5.4,2.00132,10,0.000300802,10,0.00300802,-5,2.00048,0.347861,0.347861
24,0.5,0.348111,0.350318,-5.2,2.00138,10,0.000300804,10,0.00300804,-4.8,2.0005,0.347811,0.347811
25,0.5,0.348061,0.350368,-5,2.00144,10,0.000300806,10,0.00300806,-4.6,2.00052,0.34776,0.34776
26,0.5,0.348011,0.350418,-4.8,2.0015,10,0.000300809,10,0.00300809,-4.4,2.00054,0.34771,0.34771
27,0.5,0.34796,0.350468,-4.6,2.00156,10,0.000300811,10,0.00300811,-4.2,2.00056,0.34766,0.34766
28,0.5,0.34791,0.350518,-4.4,2.00162,10,0.000300813,10,0.00300813,-4,2.00058,0.347609,0.347609
29,0.5,0.34786,0.350568,-4.2,2.00168,10,0.000300815,10,0.00300815,-3.8,2.0006,0.347559,0.347559
30,0.5,0.34781,0.350618,-4,2.00174,10,0.000300817,10,0.00300817,-3.6,2.00062,0.347509,0.347509
31,0.5,0.347759,0.350668,-3.8,2.0018,10,0.000300819,10,0.00300819,-3.4,2.00064,0.347458,0.347458
32,0.5,0.347709,0.350718,-3.6,2.00186,10,0.000300822,10,0.00300822,-3.2,2.00066,0.347408,0.347408
33,0.5,0.347659,0.350768,-3.4,2.00193,10,0.000300824,10,0.00300824,-3,2.00068,0.347358,0.347358
34,0.5,0.347608,0.350818,-3.2,2.00199,10,0.000300826,10,0.00300826,-2.8,2.0007,0.347307,0.347307
35,0.5,0.347558,0.350868,-3,2.00205,10,0.000300828,10,0.00300828,-2.6,2.00072,0.347257,0.347257
36,0.5,0.347507,0.350918,-2.8,2.00211,10,0.00030083,10,0.0030083,-2.4,2.00074,0.347207,0.347207
37,0.5,0.347457,0.350968,-2.6,2.00217,10,0.000300832,10,0.00300832,-2.2,2.00076,0.347156,0.347156
38,0.5,0.347407,0.351018,-2.4,2.00223,10,0.000300835,10,0.00300835,-2,2.00078,0.347106,0.347106
39,0.5,0.347356,0.351068,-2.2,2.00229,10,0.000300837,10,0.00300837,-1.8,2.0008,0.347055,0.347055
40,0.5,0.347306,0.351118,-2,2.00235,10,0.000300839,10,0.00300839,-1.6,2.00082,0.347005,0.347005
41,0.5,0.347256,0.351168,-1.8,2.00241,10,0.000300841,10,0.00300841,-1.4,2.00084,0.346955,0.346955
42,0.5,0.347206,0.351218,-1.6,2.00247,10,0.000300843,10,0.00300843,-1.2,2.00086,0.346905,0.346905
43,0.5,0.349371,0.349077,-1.4,2.00253,10,0.000316858,10,0.00316858,-1,2.00264,0.349055,0.349055
44,0.5,0.349538,0.349255,-1.2,2.00259,10,0.00066025,10,0.0066025,-0.8,2.0027,0.348877,0.348877
45,0.499979,0.44315,0.442489,-1,2.00272,8.32571,0.355054,7.80641,2.89436,-0.6,2.00299,0.0880955,0.0880955
46,0.500021,0.467542,0.61083,-0.843872,2.06061,6.61738,0.398477,6.09892,2.56764,-0.447971,2.00349,0.0690647,0.0690647
47,0.5,0.523599,0.796271,-0.721894,2.11196,6,0.523599,5.19615,3,-0.336672,2.00424,-4.99995e-09,-4.99995e-09
48,0.5,0.523599,0.954382,-0.617971,2.17196,6,0.523599,5.19615,3,-0.254515,2.00493,-4.9999e-09,-4.9999e-09
49,0.5,0.523599,1.1359,-0.514047,2.23196,6,0.523599,5.19615,3,-0.186716,2.00206,-4.99989e-09,-4.99989e-09
50,0.5,0.505835,1.32402,-0.410124,2.29196,6,0.491397,5.29005,2.83115,-0.136705,2,0.0144389,0.0144389
51,0.5,0.397378,1.44372,-0.304323,2.34859,6,0.340157,5.65621,2.00181,-0.104027,2.00235,0.0572216,0.0572216
52,0.5,0.268348,1.55826,-0.191199,2.38862,6,0.143005,5.93875,0.855109,-0.0803163,2.0043,0.125343,0.125343
53,0.5,0.138004,1.68644,-0.0724241,2.40572,6,-0.0942792,5.97335,-0.564837,-0.0634805,2.00582,0.232283,0.232283
54,0.5,0.0218201,1.84318,0.047043,2.39443,6,-0.327246,5.68159,-1.92862,-0.0521362,2.00692,0.349066,0.349066
55,0.5,0.196353,2.305,0.160675,2.35585,10,0.196353,9.80785,1.95094,-0.0442423,2.01233,-9.99971e-09,-9.99971e-09
56,0.5,0.370886,1.7814,0.356832,2.39487,10,0.0218201,9.99762,0.218184,0.420669,2,0.349066,0.349066
57,0.5,0.248109,1.36552,0.556784,2.39924,10,-0.0423005,9.99105,-0.422879,0.73199,2.03965,0.290409,0.290409
58,0.5,0.18842,1.04052,0.756605,2.39078,10,-0.0423027,9.99105,-0.422901,1.01997,2.08971,0.230723,0.230723
59,0.5,0.163377,0.845235,0.956426,2.38232,10,-0.0423052,9.99105,-0.422926,1.26699,2.13023,0.205682,0.205682
60,0.5,0.153801,0.757347,1.15625,2.37386,10,-0.0423079,9.99105,-0.422952,1.48558,2.14684,0.196108,0.196108
61,0.5,0.150648,0.720099,1.35607,2.3654,10,-0.0423108,9.99105,-0.422982,1.69295,2.14974,0.192959,0.192959
62,0.5,0.150112,0.70118,1.55589,2.35694,10,-0.042314,9.99105,-0.423014,1.89668,2.14751,0.192426,0.192426
63,0.5,0.150644,0.688316,1.75571,2.34848,10,-0.0423176,9.99105,-0.42305,2.09927,2.14363,0.192961,0.192961
64,0.5,0.151627,0.677381,1.95553,2.34002,10,-0.0423216,9.99105,-0.42309,2.30151,2.13928,0.193949,0.193949
65,0.5,0.152824,0.667058,2.15535,2.33156,10,-0.042326,9.99104,-0.423134,2.50362,2.13481,0.19515,0.19515
66,0.5,0.154146,0.656944,2.35517,2.3231,10,-0.0423309,9.99104,-0.423183,2.70567,2.13035,0.196477,0.196477
67,0.5,0.155562,0.646921,2.55499,2.31463,10,-0.0423364,9.99104,-0.423237,2.90767,2.1259,0.197899,0.197899
68,0.5,0.157065,0.636955,2.75481,2.30617,10,-0.0423425,9.99104,-0.423299,3.10963,2.1215,0.199407,0.199407
