u0_opt,u1_opt,u2_opt,x,z,vx,vz,pitch
0.5,-0.3023,0.634119,-9.37376,1.708,11.4109,-0,-0.043021
0.5,-0.349066,0.349066,-9.00528,1.706,11.4109,-0,-0.0428179
0.5,-0.349066,0.349066,-8.62192,1.704,11.4109,-0,-0.0427521
0.5,-0.349066,0.349066,-8.37788,1.703,11.4466,-0,-0.0428422
0.5,-0.349066,0.349066,-8.12899,1.702,11.5358,-0,-0.0434627
0.5,-0.349066,0.349066,-7.75049,1.701,11.701,-0,-0.044167
0.5,-0.349066,0.349066,-7.36713,1.699,11.8707,-0.01,-0.0449944
0.5,-0.349066,0.349066,-7.10823,1.698,11.9822,-0.02,-0.0457583
0.5,-0.349066,0.349066,-6.8393,1.697,12.1027,-0.02,-0.0462286
0.5,-0.349066,0.349066,-6.44593,1.695,12.259,-0.03,-0.0471982
0.5,-0.349066,0.349066,-6.17214,1.694,12.3705,-0.03,-0.0476554
0.5,-0.349066,0.349066,-5.76876,1.693,12.5357,-0.03,-0.0480817
0.5,-0.349066,0.349066,-5.49497,1.691,12.6339,-0.04,-0.0483602
0.5,-0.349066,0.349066,-5.07671,1.69,12.7945,-0.04,-0.0485724
0.5,-0.349066,0.349066,-4.79777,1.689,12.9017,-0.03,-0.0488095
0.5,-0.349066,0.349066,-4.37951,1.686,13.0536,-0.03,-0.0489706
0.5,-0.349066,0.349066,-4.09571,1.683,13.1518,-0.04,-0.0489424
0.5,-0.349066,0.349066,-3.67259,1.679,13.29,-0.04,-0.0488668
0.5,-0.349066,0.349066,-3.24431,1.675,13.4329,-0.03,-0.0487557
0.5,-0.349066,0.349066,-2.96051,1.672,13.5311,-0.03,-0.0486668
0.5,-0.349066,0.349066,-2.6667,1.67,13.6159,-0.03,-0.0484977
0.5,-0.349066,0.349066,-2.23356,1.667,13.7498,-0.03,-0.0483575
0.5,-0.349066,0.349066,-1.93489,1.665,13.8436,-0.02,-0.048232
0.5,-0.349066,0.349066,-1.48172,1.662,13.9775,-0.02,-0.0479914
0.5,-0.349066,0.349066,-1.18791,1.66,14.0623,-0.01,-0.0477505
0.5,-0.349066,0.349066,-0.729884,1.658,14.1962,-0.01,-0.0475509
0.5,-0.349066,0.349066,-0.421195,1.657,14.281,-0,-0.0472219
0.5,-0.349066,0.349066,0.0468453,1.655,14.4015,-0,-0.0469208
0.5,-0.349066,0.349066,0.355534,1.655,14.4863,-0,-0.0466223
0.5,-0.349066,0.349066,0.823575,1.654,14.6068,0.01,-0.0463837
0.5,-0.349066,0.349066,1.14228,1.653,14.6826,0.01,-0.0460997
0.5,-0.349066,0.349066,1.62033,1.653,14.8032,0.02,-0.0456204
0.5,-0.349066,0.349066,1.93904,1.653,14.888,0.02,-0.0452525
0.5,-0.349066,0.349066,2.42195,1.653,14.9951,0.03,-0.0448242
0.5,-0.349066,0.349066,2.74066,1.653,15.0709,0.04,-0.0445504
0.5,-0.349066,0.349066,3.23359,1.653,15.1871,0.04,-0.044108
0.5,-0.349066,0.349066,3.56716,1.651,15.2539,0.05,-0.0436896
0.5,-0.349066,0.349066,4.06009,1.65,15.3611,0.06,-0.0432302
0.5,-0.349066,0.349066,4.38366,1.65,15.4325,0.07,-0.0428477
0.5,-0.349066,0.349066,4.8866,1.649,15.5307,0.08,-0.0423615
0.5,-0.349066,0.349066,5.22018,1.649,15.6021,0.08,-0.0418715
0.5,-0.349066,0.349066,6.07158,1.65,15.7718,0.1,-0.0412764
0.5,-0.349066,0.349066,6.57452,1.651,15.8699,0.11,-0.0408308
0.5,-0.349066,0.349066,6.92298,1.652,15.9324,0.12,-0.040269
0.5,-0.349066,0.349066,7.4408,1.654,16.0305,0.13,-0.0398826
0.5,-0.351519,0.349066,7.78439,1.655,16.0886,0.14,-0.0394258
0.5,-0.46467,0.456108,8.30221,1.658,16.1868,0.15,-0.0390018
0.5,-0.523599,0.627231,8.66068,1.66,16.2449,0.16,-0.0385618
0.5,-0.523599,0.776294,9.18851,1.663,16.334,0.17,-0.0382071
0.5,-0.523599,0.940878,9.53696,1.665,16.3921,0.17,-0.0378562
0.5,-0.523599,1.12469,10.0748,1.669,16.4769,0.18,-0.0375498
